Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
ODP-162-984,,,,0.01,0.01,,,,,,0.01,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.05,0.05,,,,,,0.05,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.15,0.15,,,,,,0.15,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.21,0.21,,,,,,0.21,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.25,0.25,,,,,,0.25,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.35,0.35,,,,,,0.35,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.41,0.41,,,,,,0.41,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.45,0.45,,,,,,0.45,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.55,0.55,,,,,,0.55,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.61,0.61,,,,,,0.61,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.65,0.65,,,,,,0.65,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.75,0.75,,,,,,0.75,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.81,0.81,,,,,,0.81,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.85,0.85,,,,,,0.85,depth model from Jonkers et al. 2020,
ODP-162-984,,,,0.95,0.95,,,,,,0.95,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.01,1.01,,,,,,1.01,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.05,1.05,,,,,,1.05,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.21,1.21,,,,,,1.21,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.25,1.25,,,,,,1.25,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.41,1.41,,,,,,1.41,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.43,1.43,,,,,,1.43,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.71,1.71,,,,,,1.71,depth model from Jonkers et al. 2020,
ODP-162-984,,,,1.81,1.81,,,,,,1.81,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.05,2.05,,,,,,2.05,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.65,2.65,,,,,,2.65,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.71,2.71,,,,,,2.71,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.75,2.75,,,,,,2.75,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.81,2.81,,,,,,2.81,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.85,2.85,,,,,,2.85,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.87,2.87,,,,,,2.87,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.89,2.89,,,,,,2.89,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.91,2.91,,,,,,2.91,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.93,2.93,,,,,,2.93,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.95,2.95,,,,,,2.95,depth model from Jonkers et al. 2020,
ODP-162-984,,,,2.97,2.97,,,,,,2.97,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.01,3.01,,,,,,3.01,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.03,3.03,,,,,,3.03,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.05,3.05,,,,,,3.05,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.07,3.07,,,,,,3.07,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.09,3.09,,,,,,3.09,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.11,3.11,,,,,,3.11,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.13,3.13,,,,,,3.13,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.15,3.15,,,,,,3.15,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.17,3.17,,,,,,3.17,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.19,3.19,,,,,,3.19,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.21,3.21,,,,,,3.21,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.23,3.23,,,,,,3.23,depth model from Jonkers et al. 2020,
ODP-162-984,,,,3.25,3.25,,,,,,3.25,depth model from Jonkers et al. 2020,
