Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
ODP-172-1059,,0.16,0.74,2.5,0.74,2.5,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,0.4,0.32,1.98,0.32,1.98,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,0.48,1.08,2.42,1.08,2.42,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,0.56,1.06,2.71,1.06,2.71,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,0.72,1.08,2.38,1.08,2.38,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,1.52,0.81,2.91,0.81,2.91,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,1.6,0.43,3.15,0.43,3.15,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,1.68,0.49,3.23,0.49,3.23,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,1.76,0.59,3.1,0.59,3.1,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
ODP-172-1059,,1.84,0.37,2.66,0.37,2.66,2-5,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Hagen, S., and L. D. Keigwin (2002), Sea-surface temperature variability and deep water reorganisation in the subtropical North Atlantic during Isotope Stage 2-4, Marine Geology, 189(1-2), 145-162, 10.1016/s0025-3227(02)00327-4.",,"Hagen, S., and L. D. Keigwin (2017), Stable isotope record of foraminifera from ODP Site 172-1059. https://doi.pangaea.de/10.1594/PANGAEA.881629",1
