Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ODP-202-1242,,0.17,1050,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.25,1540,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.41,2530,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.49,3030,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.53,3280,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.57,3520,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.61,3770,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.65,4020,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.69,4260,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.81,5010,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.85,5250,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.89,5500,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.93,5750,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.97,5990,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.05,6490,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.09,6740,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.13,6980,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.21,7480,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.25,7720,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.33,8220,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.41,8710,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.5,9270,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.54,9520,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.58,9760,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.62,10010,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.66,10260,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.7,10510,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.74,10750,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.78,11000,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.82,11260,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.86,11520,,,,,4,Age model calculated by Alan Mix,,1
