Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ODP-202-1242,,0.01,61.7977528,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.05,308.988764,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.09,556.1797753,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.13,803.3707865,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.17,1050.5617978,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.21,1297.752809,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.25,1544.9438202,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.29,1792.1348315,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.33,2039.3258427,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.37,2286.5168539,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.41,2533.7078652,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.45,2780.8988764,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.49,3028.0898876,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.53,3275.2808989,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.57,3522.4719101,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.61,3769.6629213,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.65,4016.8539326,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.69,4264.0449438,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.73,4511.2359551,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.77,4758.4269663,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.81,5005.6179775,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.85,5252.8089888,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.89,5500,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.93,5747.1910112,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,0.97,5994.3820225,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.01,6241.5730337,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.05,6488.7640449,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.09,6735.9550562,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.13,6983.1460674,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.17,7230.3370787,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.21,7477.5280899,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.25,7724.7191011,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.29,7971.9101124,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.33,8219.1011236,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.37,8466.2921348,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.41,8713.4831461,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.5,9269.6629213,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.54,9516.8539326,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.58,9764.0449438,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.62,10011.2359551,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.66,10258.4269663,,,,,4,Age model calculated by Alan Mix,,1
ODP-202-1242,,1.7,10505.6179775,,,,,4,Age model calculated by Alan Mix,,1
