Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
ODP-202-1242,,0.18,0.13,2.26,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.26,0.02,2.53,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.42,0.18,2.64,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.5,0.29,2.71,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.54,0.22,2.05,,,4,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.58,0.2,2.93,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.62,0.26,2.71,,,4,500,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.66,0.27,2.77,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.7,0.31,2.86,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.82,0.34,2.64,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.86,0.27,2.71,,,2,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.9,0.19,2.84,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.94,0.09,2.81,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.98,0.18,2.76,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.06,0.2,2.8,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.1,0.21,2.77,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.14,0.24,2.94,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.22,0.21,3.09,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.26,0.07,2.71,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.34,0.07,3.09,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.42,0.06,2.92,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.01,0.11,3.39,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.05,0.07,3.16,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.09,0.11,3.22,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.13,-0.03,3.03,,,4,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.17,0.02,3.4,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.21,0.06,3.36,,,2,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.25,-0.04,3.45,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.29,0.04,3.34,,,2,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.33,0.08,3.36,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.37,0.02,3.35,,,4,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.41,0.03,3.39,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.45,-0.04,3.45,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.57,0.1,3.54,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.65,-0.1,3.57,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.69,0.03,3.51,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.73,0.02,3.81,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.77,0.05,3.45,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.81,0.09,3.76,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.85,0.1,3.86,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.89,0.11,3.68,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.93,0.13,4.33,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.97,0.08,4.04,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.05,-0.03,4.26,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.09,0.01,4.4,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.13,-0.1,4.24,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.17,-0.01,4.09,,,6,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.21,-0.14,4.27,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.25,-0.3,4.18,,,6,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.29,-0.02,4.22,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.33,-0.01,4.25,,,6,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.37,-0.07,4.24,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.41,-0.12,3.98,,,4,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.45,-0.08,4.21,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,1.49,-0.1,4.17,,,5,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.01,-0.1,4.35,,,,150,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
ODP-202-1242,,0.05,-0.03,4.04,,,3,250,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,,,,1
