Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PAR87A-10,,0.23,0.18,2.83,0.18,2.83,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.28,0.0,2.69,0.0,2.69,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.37,-0.47,3.19,-0.47,3.19,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.46,-0.57,3.54,-0.57,3.54,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.55,-0.71,3.86,-0.71,3.86,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.64,-0.71,3.91,-0.71,3.91,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.74,-0.52,3.81,-0.52,3.81,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.87,-0.39,4.36,-0.39,4.36,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,0.92,-0.65,4.17,-0.65,4.17,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.06,-0.4,4.33,-0.4,4.33,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.08,-0.41,4.22,-0.41,4.22,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.11,-0.52,3.95,-0.52,3.95,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.17,-0.49,4.23,-0.49,4.23,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.21,-0.47,4.12,-0.47,4.12,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.24,-0.34,4.32,-0.34,4.32,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.37,-0.41,3.61,-0.41,3.61,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
PAR87A-10,,1.47,-0.83,3.73,-0.83,3.73,1-8,250,350,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Zahn, R., Pedersen, T. F., Bornhold, B. D., and Mix, A. C.: Water Mass Conversion in the Glacial Subarctic Pacific (54 N, 148 W): Physical Constraints and the Benthic-Planktonic Stable Isotope Record, Paleoceanography, 6, 543-560, doi:10.1029/91PA01327, 1991.",,Table in paper,1
