Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
POS457-905-2,,,,0.005,0.005,,,,,,0.005,,
POS457-905-2,,,,0.025,0.025,,,,,,0.025,,
POS457-905-2,,,,0.045,0.045,,,,,,0.045,,
POS457-905-2,,,,0.065,0.065,,,,,,0.065,,
POS457-905-2,,,,0.085,0.085,,,,,,0.085,,
POS457-905-2,,,,0.105,0.105,,,,,,0.105,,
POS457-905-2,,,,0.165,0.165,,,,,,0.165,,
POS457-905-2,,,,0.185,0.185,,,,,,0.185,,
POS457-905-2,,,,0.205,0.205,,,,,,0.205,,
POS457-905-2,,,,0.225,0.225,,,,,,0.225,,
POS457-905-2,,,,0.245,0.245,,,,,,0.245,,
POS457-905-2,,,,0.265,0.265,,,,,,0.265,,
POS457-905-2,,,,0.285,0.285,,,,,,0.285,,
POS457-905-2,,,,0.305,0.305,,,,,,0.305,,
POS457-905-2,,,,0.325,0.325,,,,,,0.325,,
POS457-905-2,,,,0.345,0.345,,,,,,0.345,,
POS457-905-2,,,,0.365,0.365,,,,,,0.365,,
POS457-905-2,,,,0.425,0.425,,,,,,0.425,,
POS457-905-2,,,,0.445,0.445,,,,,,0.445,,
POS457-905-2,,,,0.465,0.465,,,,,,0.465,,
POS457-905-2,,,,0.485,0.485,,,,,,0.485,,
POS457-905-2,,,,0.505,0.505,,,,,,0.505,,
POS457-905-2,,,,0.525,0.525,,,,,,0.525,,
POS457-905-2,,,,0.545,0.545,,,,,,0.545,,
POS457-905-2,,,,0.565,0.565,,,,,,0.565,,
POS457-905-2,,,,0.585,0.585,,,,,,0.585,,
POS457-905-2,,,,0.605,0.605,,,,,,0.605,,
POS457-905-2,,,,0.625,0.625,,,,,,0.625,,
POS457-905-2,,,,0.645,0.645,,,,,,0.645,,
POS457-905-2,,,,0.665,0.665,,,,,,0.665,,
POS457-905-2,,,,0.685,0.685,,,,,,0.685,,
POS457-905-2,,,,0.705,0.705,,,,,,0.705,,
POS457-905-2,,,,0.725,0.725,,,,,,0.725,,
POS457-905-2,,,,0.745,0.745,,,,,,0.745,,
POS457-905-2,,,,0.765,0.765,,,,,,0.765,,
POS457-905-2,,,,0.785,0.785,,,,,,0.785,,
POS457-905-2,,,,0.805,0.805,,,,,,0.805,,
POS457-905-2,,,,0.825,0.825,,,,,,0.825,,
POS457-905-2,,,,0.865,0.865,,,,,,0.865,,
POS457-905-2,,,,0.885,0.885,,,,,,0.885,,
POS457-905-2,,,,0.905,0.905,,,,,,0.905,,
POS457-905-2,,,,0.925,0.925,,,,,,0.925,,
POS457-905-2,,,,0.985,0.985,,,,,,0.985,,
POS457-905-2,,,,1.005,1.005,,,,,,1.005,,
POS457-905-2,,,,1.025,1.025,,,,,,1.025,,
POS457-905-2,,,,1.045,1.045,,,,,,1.045,,
POS457-905-2,,,,1.105,1.105,,,,,,1.105,,
