Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS2082-1,,0.0,0.31,2.8,0.31,2.8,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.01,0.31,2.85,0.31,2.85,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.02,0.44,2.7,0.44,2.7,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.03,-0.33,2.88,-0.33,2.88,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.04,0.03,2.66,0.03,2.66,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.06,0.24,2.89,0.24,2.89,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.12,-0.03,3.13,-0.03,3.13,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.2,-0.35,3.75,-0.35,3.75,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.28,-0.34,4.09,-0.34,4.09,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
PS2082-1,,0.37,-0.79,4.28,-0.79,4.28,,,,Cibicidoides spp.,7,,,,,From Stefan Mulitza 2021 compilation,"Andreas Mackensen, Hannes Grobe, Hans-Wolfgang Hubberten, and Gerhard Kuhn: Benthic foraminiferal assemblages and the d13C-signal in the Atlantic sector of the Southern Ocean: Glacial-to-interglacial contrasts, Carbon cycling in the glacial ocean: Constraints on the ocean_s role in global change (R. Zahn, M. Kaminski, L. Labeyrie, T. Pedersen, eds. ) NATO ASI series, Springer, Berlin, I 17, 105-144, 1994.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.50113",1
