Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
PS2498-1,,0.05999999865889549,,,,,,,,,,3000.0,920.0,920.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,0.21,,,,5240.0,50.0,50.0,742.0,54.0,54.0,5135.0,295.0,258.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,0.41,,,,8119.999999999999,50.0,50.0,708.0,50.8,50.8,8227.0,141.0,189.9999999999991,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,0.61,,,,10340.0,60.0,60.0,806.0,75.6,75.6,10883.0,289.0,300.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,0.81,,,,12070.0,70.0,60.0,1041.0,141.4,141.4,12951.0,280.0,224.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,0.91,,,,13150.0,80.0,80.0,839.0,140.9,140.9,14446.0,585.0,632.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,1.11,,,,14710.0,110.0,110.0,1111.0,151.5,151.5,16456.0,555.0,540.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,1.51,,,,19230.0,140.0,140.0,1355.0,154.4,154.4,21682.0,542.0,626.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,1.81,,,,23090.0,250.0,240.0,1369.0,163.20000000000002,163.20000000000002,26048.0,815.0,706.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,2.11,,,,24570.0,550.0,520.0,1349.0,166.7,166.7,27510.0,1199.0,1124.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
PS2498-1,,2.71,,,,28860.0,550.0,520.0,1203.0,203.5,203.5,31948.0,1517.0,1063.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
