Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
PS2561-2,,,,0.02,0.02,,,,,,0.02,,
PS2561-2,,,,0.1,0.1,,,,,,0.1,,
PS2561-2,,,,0.2,0.2,,,,,,0.2,,
PS2561-2,,,,0.3,0.3,,,,,,0.3,,
PS2561-2,,,,0.4,0.4,,,,,,0.4,,
PS2561-2,,,,0.5,0.5,,,,,,0.5,,
PS2561-2,,,,0.6,0.6,,,,,,0.6,,
PS2561-2,,,,0.7,0.7,,,,,,0.7,,
PS2561-2,,,,0.8,0.8,,,,,,0.8,,
PS2561-2,,,,0.9,0.9,,,,,,0.9,,
PS2561-2,,,,1.0,1.0,,,,,,1.0,,
PS2561-2,,,,1.1,1.1,,,,,,1.1,,
PS2561-2,,,,1.2,1.2,,,,,,1.2,,
PS2561-2,,,,1.3,1.3,,,,,,1.3,,
PS2561-2,,,,1.4,1.4,,,,,,1.4,,
PS2561-2,,,,1.5,1.5,,,,,,1.5,,
PS2561-2,,,,1.6,1.6,,,,,,1.6,,
PS2561-2,,,,1.7,1.7,,,,,,1.7,,
PS2561-2,,,,1.8,1.8,,,,,,1.8,,
PS2561-2,,,,1.9,1.9,,,,,,1.9,,
PS2561-2,,,,2.0,2.0,,,,,,2.0,,
PS2561-2,,,,2.1,2.1,,,,,,2.1,,
PS2561-2,,,,2.2,2.2,,,,,,2.2,,
PS2561-2,,,,2.3,2.3,,,,,,2.3,,
PS2561-2,,,,2.4,2.4,,,,,,2.4,,
PS2561-2,,,,2.5,2.5,,,,,,2.5,,
PS2561-2,,,,2.6,2.6,,,,,,2.6,,
PS2561-2,,,,2.7,2.7,,,,,,2.7,,
PS2561-2,,,,2.8,2.8,,,,,,2.8,,
PS2561-2,,,,2.9,2.9,,,,,,2.9,,
PS2561-2,,,,3.0,3.0,,,,,,3.0,,
PS2561-2,,,,3.1,3.1,,,,,,3.1,,
PS2561-2,,,,3.2,3.2,,,,,,3.2,,
PS2561-2,,,,3.3,3.3,,,,,,3.3,,
PS2561-2,,,,3.4,3.4,,,,,,3.4,,
PS2561-2,,,,3.5,3.5,,,,,,3.5,,
PS2561-2,,,,3.6,3.6,,,,,,3.6,,
PS2561-2,,,,3.7,3.7,,,,,,3.7,,
PS2561-2,,,,3.8,3.8,,,,,,3.8,,
PS2561-2,,,,3.9,3.9,,,,,,3.9,,
PS2561-2,,,,4.0,4.0,,,,,,4.0,,
PS2561-2,,,,4.1,4.1,,,,,,4.1,,
PS2561-2,,,,4.2,4.2,,,,,,4.2,,
PS2561-2,,,,4.3,4.3,,,,,,4.3,,
PS2561-2,,,,4.4,4.4,,,,,,4.4,,
PS2561-2,,,,4.5,4.5,,,,,,4.5,,
PS2561-2,,,,4.6,4.6,,,,,,4.6,,
PS2561-2,,,,4.7,4.7,,,,,,4.7,,
PS2561-2,,,,4.8,4.8,,,,,,4.8,,
PS2561-2,,,,4.9,4.9,,,,,,4.9,,
PS2561-2,,,,5.0,5.0,,,,,,5.0,,
PS2561-2,,,,5.1,5.1,,,,,,5.1,,
PS2561-2,,,,5.2,5.2,,,,,,5.2,,
PS2561-2,,,,5.3,5.3,,,,,,5.3,,
PS2561-2,,,,5.4,5.4,,,,,,5.4,,
PS2561-2,,,,5.5,5.5,,,,,,5.5,,
PS2561-2,,,,5.6,5.6,,,,,,5.6,,
PS2561-2,,,,5.7,5.7,,,,,,5.7,,
PS2561-2,,,,5.8,5.8,,,,,,5.8,,
PS2561-2,,,,5.9,5.9,,,,,,5.9,,
PS2561-2,,,,6.0,6.0,,,,,,6.0,,
PS2561-2,,,,6.1,6.1,,,,,,6.1,,
PS2561-2,,,,6.2,6.2,,,,,,6.2,,
PS2561-2,,,,6.3,6.3,,,,,,6.3,,
PS2561-2,,,,6.4,6.4,,,,,,6.4,,
PS2561-2,,,,6.5,6.5,,,,,,6.5,,
PS2561-2,,,,6.6,6.6,,,,,,6.6,,
PS2561-2,,,,6.7,6.7,,,,,,6.7,,
PS2561-2,,,,6.8,6.8,,,,,,6.8,,
PS2561-2,,,,6.9,6.9,,,,,,6.9,,
PS2561-2,,,,7.0,7.0,,,,,,7.0,,
PS2561-2,,,,7.1,7.1,,,,,,7.1,,
PS2561-2,,,,7.2,7.2,,,,,,7.2,,
PS2561-2,,,,7.3,7.3,,,,,,7.3,,
PS2561-2,,,,7.4,7.4,,,,,,7.4,,
PS2561-2,,,,7.5,7.5,,,,,,7.5,,
