Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
PS75-059-2,,0.02,3800.7214355469,,,3867.0200195313,3754.0200195313,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.03,4006.7951660156,,,4242.7319335938,3799.7319335938,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.04,4212.8803710938,,,4672.82421875,3861.8239746094,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.05,4418.9536132813,,,5113.916015625,3893.916015625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.06,4625.0302734375,,,5542.0078125,3927.0080566406,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.07,4831.0991210938,,,5977.099609375,3961.0998535156,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.08,5038.025390625,,,6052.6162109375,4223.6162109375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.09,5244.9477539063,,,6129.9052734375,4418.9052734375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.1,5451.875,,,6232.4506835938,4587.4506835938,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.11,5658.80078125,,,6366.6010742188,4737.6010742188,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.12,5865.7250976563,,,6575.1264648438,4862.1264648438,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.13,6031.4438476563,,,6614.7329101563,5216.7329101563,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.14,6196.6586914063,,,6652.513671875,5579.513671875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.15,6361.8598632813,,,6698.7490234375,5933.7490234375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.16,6527.0541992188,,,6752.5502929688,6265.5502929688,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.17,6692.2646484375,,,6864.1953125,6504.1953125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.18,6934.1411132813,,,7284.2983398438,6649.2983398438,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.19,7177.4790039063,,,7794.3461914063,6724.3461914063,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.2,7420.80078125,,,8321.08984375,6774.0903320313,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.21,7664.1357421875,,,8841.833984375,6825.8344726563,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.22,7907.5014648438,,,9374.578125,6866.5786132813,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.23,8173.2451171875,,,9562.826171875,7167.8256835938,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.24,8439.583984375,,,9772.03515625,7359.0346679688,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.25,8705.8798828125,,,10013.244140625,7499.2436523438,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.26,8972.1884765625,,,10375.453125,7616.4526367188,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.27,9238.533203125,,,10772.662109375,7734.6616210938,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.28,9466.7451171875,,,10865.3984375,8080.3984375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.29,9693.7265625,,,10967.0234375,8408.0234375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.3,9920.7412109375,,,11091.162109375,8663.162109375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.31,10147.7119140625,,,11241.458984375,8883.458984375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.32,10374.712890625,,,11438.0546875,9090.0546875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.33,10606.1201171875,,,11493.4365234375,9556.4365234375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.34,10837.732421875,,,11549.1357421875,10032.1357421875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.35,11069.3076171875,,,11614.7109375,10499.7109375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.36,11300.9189453125,,,11692.2861328125,10937.2861328125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.37,11532.5078125,,,11850.861328125,11273.861328125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.38,11667.947265625,,,11972.73046875,11394.73046875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.39,11799.0263671875,,,12126.111328125,11458.111328125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.4,11930.07421875,,,12315.6083984375,11516.6083984375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.41,12061.1259765625,,,12529.275390625,11567.275390625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.42,12192.1806640625,,,12765.91796875,11611.91796875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.43,12336.15625,,,12821.6337890625,11865.6337890625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.44,12480.8173828125,,,12860.548828125,12104.548828125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.45,12625.4892578125,,,12916.26953125,12343.26953125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.46,12770.1337890625,,,12998.6865234375,12554.6865234375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.47,12914.8154296875,,,13119.8076171875,12730.8076171875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.48,13148.3232421875,,,13437.9951171875,12875.9951171875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.49,13387.1044921875,,,13860.765625,12950.765625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.5,13625.8798828125,,,14313.0625,13009.0625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.51,13864.6982421875,,,14778.3388671875,13059.3388671875,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.52,14103.4921875,,,15245.0361328125,13107.0361328125,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.53,14353.1806640625,,,15362.677734375,13461.677734375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.54,14603.595703125,,,15461.056640625,13723.056640625,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.55,14854.0068359375,,,15575.865234375,13920.865234375,3,Age model from Jonkers et al. (2020),,1
PS75-059-2,,0.56,15104.47265625,,,15728.6728515625,14098.6728515625,3,Age model from Jonkers et al. (2020),,1
