Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
PS75-059-2,,0.02,2642.953369140625,,,2823.699951171875,2441.699951171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.03,2930.861083984375,,,3509.86474609375,2592.86474609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.04,3218.7646484375,,,4439.029296875,2664.029296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.05,3506.671630859375,,,5307.1943359375,2712.194091796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.06,3728.814453125,,,5390.1259765625,2829.126220703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.07,3950.957763671875,,,5495.05859375,2908.058349609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.08,4173.09619140625,,,5644.990234375,2981.990478515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.09,4406.01123046875,,,5799.23828125,3190.238037109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.1,4638.9228515625,,,5947.85986328125,3328.85986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.11,4871.837890625,,,6218.791015625,3437.791259765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.12,5115.97509765625,,,6291.0126953125,3655.0126953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.13,5360.11767578125,,,6384.5966796875,3875.5966796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.14,5604.2607421875,,,6570.04296875,4019.04296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.15,5945.0263671875,,,6623.15283203125,4876.15283203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.16,6285.7890625,,,6699.8642578125,5738.8642578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
PS75-059-2,,0.17,6626.5517578125,,,6850.1845703125,6419.1845703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
