Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS75-104-1,,0,1.6,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.02,1.41,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.04,1.58,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.08,1.44,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.1,1.58,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.14,1.68,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.18,1.56,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.24,1.51,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.26,1.42,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.28,1.17,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.3,1.27,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.32,1.45,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.34,1.41,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.36,1.26,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
PS75-104-1,,0.42,1.15,,,,2-4,,,Cibicidoides wuellerstorfi,1,,,,,,"Ronge, T. A., Frische, M., Fietzke, J., Stephens, A. L., Bostock, H., & Tiedemann, R. (2021). Southern Ocean contribution to both steps in deglacial atmospheric CO2 rise. Scientific reports, 11(1), 1-10.",,https://​doi.​panga​ea.​de/​10.​1594/​PANGA​EA.​931987,1
