Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RAPiD-10-1P,,0.09,852.0,980.0,727.0,1111.0,621.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.1,1159.0,1332.0,1014.0,1547.0,898.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.11,1474.0,1720.0,1278.0,2063.0,1113.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.12,1790.0,2126.0,1525.0,2621.0,1303.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.13,2105.0,2535.0,1769.0,3200.0,1491.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.14,2422.0,2948.0,2009.9999999999998,3771.0,1670.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.15,2736.0,3363.0,2248.0,4347.0,1845.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.16,3049.0,3776.0,2487.0,4919.0,2020.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.17,3365.0,4190.0,2723.0,5476.0,2193.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.18,3678.0,4602.0,2959.0,5959.0,2365.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.19,3993.0,5009.0,3198.0,6384.0,2537.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.2,4307.0,5406.0,3433.0,6725.0,2702.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.21,4621.0,5779.0,3670.0,7014.0,2877.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.22,4939.0,6121.0,3907.0,7279.0,3053.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.23,5254.0,6428.0,4149.0,7515.0,3223.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.24,5567.0,6705.0,4399.0,7705.0,3402.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.25,5882.0,6962.0,4671.0,7885.0,3611.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.26,6197.0,7208.0,4968.0,8073.0,3812.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.27,6512.0,7450.0,5296.0,8246.0,4045.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.28,6827.0,7688.0,5671.0,8416.0,4345.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.29,7142.0,7926.0,6065.0,8587.0,4723.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.3,7459.0,8167.0,6481.0,8757.0,5159.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.31,7776.0,8406.0,6898.0,8929.0,5624.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.32,8092.000000000001,8642.0,7321.0,9098.0,6192.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.33,8408.0,8879.0,7744.0,9270.0,6766.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.34,8722.0,9119.0,8172.000000000001,9444.0,7359.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.35,9038.0,9360.0,8591.0,9618.0,7935.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.36,9355.0,9601.0,9012.0,9799.0,8505.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.37,9672.0,9847.0,9431.0,9985.0,9080.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.38,9988.0,10107.0,9829.0,10190.0,9619.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.39,10280.0,10347.0,10186.0,10397.0,10092.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.4,10402.0,10463.0,10346.0,10534.0,10299.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.41,10506.0,10590.0,10439.0,10702.0,10377.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.42,10610.0,10725.0,10523.0,10886.0,10446.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.43,10714.0,10860.0,10605.0,11052.0,10508.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.44,10819.0,10992.0,10684.0,11174.0,10571.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.45,10922.0,11099.0,10765.0,11256.0,10632.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.46,11026.0,11187.0,10853.0,11320.0,10696.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.47,11130.0,11267.0,10960.0,11380.0,10781.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.48,11234.0,11346.0,11092.0,11441.0,10904.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.49,11339.0,11428.0,11227.0,11507.0,11069.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.5,11443.0,11514.0,11359.0,11577.0,11249.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.51,11548.0,11605.0,11485.0,11656.0,11418.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.52,11642.0,11691.0,11592.0,11734.0,11549.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.53,11670.0,11715.0,11625.0,11752.0,11585.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.54,11687.0,11733.0,11641.0,11773.0,11598.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.55,11704.0,11753.0,11655.0,11798.0,11609.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.56,11721.0,11774.0,11668.0,11828.0,11620.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.57,11736.0,11797.0,11679.0,11860.0,11629.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.58,11752.0,11821.0,11690.0,11893.0,11638.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.59,11766.0,11845.0,11699.0,11922.0,11647.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.6,11780.0,11869.0,11709.0,11947.0,11656.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.61,11794.0,11891.0,11718.0,11966.0,11664.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.62,11809.0,11911.0,11728.0,11983.0,11672.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.63,11826.0,11932.0,11737.0,11999.0,11680.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.64,11845.0,11953.0,11747.0,12015.0,11688.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.65,11866.0,11974.0,11756.0,12032.0,11697.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.66,11891.0,11995.0,11765.0,12052.0,11704.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.67,11917.0,12017.0,11774.0,12071.0,11711.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.68,11944.0,12040.0,11782.0,12092.0,11718.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.69,11971.0,12063.0,11791.0,12115.0,11726.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.7,11994.0,12088.0,11800.0,12139.0,11733.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.71,12013.0,12110.0,11808.0,12163.0,11739.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.72,12019.0,12114.0,11817.0,12167.0,11747.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.73,12024.0,12116.0,11825.0,12168.0,11754.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.74,12027.0,12118.0,11834.0,12169.0,11760.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.75,12030.0,12120.0,11842.0,12170.0,11766.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.76,12032.0,12122.0,11851.0,12171.0,11774.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.77,12035.0,12124.0,11859.0,12172.0,11782.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.78,12038.0,12126.0,11868.0,12174.0,11789.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.79,12040.0,12127.0,11877.0,12175.0,11798.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.8,12042.0,12130.0,11886.0,12176.0,11807.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.81,12045.0,12131.0,11896.0,12178.0,11816.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.82,12047.0,12133.0,11906.0,12180.0,11826.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.83,12050.0,12135.0,11916.0,12181.0,11838.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
RAPiD-10-1P,,0.84,12052.0,12137.0,11926.0,12183.0,11850.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
