Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RAPiD-10-1P,5,,,,0.005,0.005,,,,,0.005,,
RAPiD-10-1P,5,,,,0.045,0.045,,,,,0.045,,
RAPiD-10-1P,5,,,,0.085,0.085,,,,,0.085,,
RAPiD-10-1P,5,,,,0.125,0.125,,,,,0.125,,
RAPiD-10-1P,5,,,,0.165,0.165,,,,,0.165,,
RAPiD-10-1P,5,,,,0.205,0.205,,,,,0.205,,
RAPiD-10-1P,5,,,,0.245,0.245,,,,,0.245,,
RAPiD-10-1P,5,,,,0.285,0.285,,,,,0.285,,
RAPiD-10-1P,5,,,,0.315,0.315,,,,,0.315,,
RAPiD-10-1P,5,,,,0.325,0.325,,,,,0.325,,
RAPiD-10-1P,5,,,,0.335,0.335,,,,,0.335,,
RAPiD-10-1P,5,,,,0.345,0.345,,,,,0.345,,
RAPiD-10-1P,5,,,,0.355,0.355,,,,,0.355,,
RAPiD-10-1P,5,,,,0.365,0.365,,,,,0.365,,
RAPiD-10-1P,5,,,,0.375,0.375,,,,,0.375,,
RAPiD-10-1P,5,,,,0.385,0.385,,,,,0.385,,
RAPiD-10-1P,5,,,,0.395,0.395,,,,,0.395,,
RAPiD-10-1P,5,,,,0.405,0.405,,,,,0.405,,
RAPiD-10-1P,5,,,,0.415,0.415,,,,,0.415,,
RAPiD-10-1P,5,,,,0.425,0.425,,,,,0.425,,
RAPiD-10-1P,5,,,,0.435,0.435,,,,,0.435,,
RAPiD-10-1P,5,,,,0.445,0.445,,,,,0.445,,
RAPiD-10-1P,5,,,,0.455,0.455,,,,,0.455,,
RAPiD-10-1P,5,,,,0.465,0.465,,,,,0.465,,
RAPiD-10-1P,5,,,,0.475,0.475,,,,,0.475,,
RAPiD-10-1P,5,,,,0.485,0.485,,,,,0.485,,
RAPiD-10-1P,5,,,,0.495,0.495,,,,,0.495,,
RAPiD-10-1P,5,,,,0.505,0.505,,,,,0.505,,
RAPiD-10-1P,5,,,,0.515,0.515,,,,,0.515,,
RAPiD-10-1P,5,,,,0.525,0.525,,,,,0.525,,
RAPiD-10-1P,5,,,,0.535,0.535,,,,,0.535,,
RAPiD-10-1P,5,,,,0.555,0.555,,,,,0.555,,
RAPiD-10-1P,5,,,,0.565,0.565,,,,,0.565,,
RAPiD-10-1P,5,,,,0.575,0.575,,,,,0.575,,
RAPiD-10-1P,5,,,,0.585,0.585,,,,,0.585,,
RAPiD-10-1P,5,,,,0.595,0.595,,,,,0.595,,
RAPiD-10-1P,5,,,,0.605,0.605,,,,,0.605,,
RAPiD-10-1P,5,,,,0.615,0.615,,,,,0.615,,
RAPiD-10-1P,5,,,,0.985,0.985,,,,,0.985,,
RAPiD-10-1P,5,,,,0.995,0.995,,,,,0.995,,
