Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
RAPiD-10-1P,,0.005,1.14,2.46,,2.46,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.045,1.27,2.55,,2.52,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.085,1.28,2.5,,2.44,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.125,1.26,2.44,,2.36,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.165,1.04,2.3,,2.2,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.205,1.27,2.6,,2.49,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.245,1.35,2.52,,2.39,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.285,1.3,2.43,,2.27,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.315,1.28,2.72,,2.54,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
RAPiD-10-1P,,0.325,1.27,2.46,,2.28,,,,Cibicidoides spp.,7,,,,d18O ice-volume corrected,,"Thornalley, D.J.R., H. Elderfield, and I.N. McCave. 2011. Reconstructing North Atlantic deglacial surface hydrography and its link to the Atlantic overturning circulation. Global and Planetary Change, 79, 163-175. ",,see isotope data text file ,1
