Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RAPiD-15-4P,,,,1.445,1.445,,,,,,1.445,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,1.525,1.525,,,,,,1.525,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,1.685,1.685,,,,,,1.685,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,2.325,2.325,,,,,,2.325,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,3.045,3.045,,,,,,3.045,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,3.205,3.205,,,,,,3.205,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,3.445,3.445,,,,,,3.445,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.005,4.005,,,,,,4.005,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.085,4.085,,,,,,4.085,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.365,4.365,,,,,,4.365,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.385,4.385,,,,,,4.385,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.445,4.445,,,,,,4.445,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.525,4.525,,,,,,4.525,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.535,4.535,,,,,,4.535,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.545,4.545,,,,,,4.545,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.555,4.555,,,,,,4.555,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.565,4.565,,,,,,4.565,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.575,4.575,,,,,,4.575,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.585,4.585,,,,,,4.585,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.595,4.595,,,,,,4.595,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.635,4.635,,,,,,4.635,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.645,4.645,,,,,,4.645,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.655,4.655,,,,,,4.655,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.665,4.665,,,,,,4.665,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.675,4.675,,,,,,4.675,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.685,4.685,,,,,,4.685,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.695,4.695,,,,,,4.695,depth model from Jonkers et al. 2020,
RAPiD-15-4P,,,,4.705,4.705,,,,,,4.705,depth model from Jonkers et al. 2020,
