Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RAPiD-17-5-P,,7.505,8756.3359375,,,9082.390625,8742.390625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.515,8771.138671875,,,9093.9736328125,8756.9736328125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.525,8785.9013671875,,,9104.27734375,8773.27734375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.535,8800.685546875,,,9116.580078125,8787.580078125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.545,8815.45703125,,,9127.884765625,8802.884765625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.555,8830.2109375,,,9143.1875,8817.1875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.565,8844.5390625,,,9159.265625,8834.265625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.575,8858.8359375,,,9171.6669921875,8848.6669921875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.585,8873.14453125,,,9183.068359375,8863.068359375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.595,8887.4697265625,,,9196.46875,8878.46875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.605,8901.7568359375,,,9211.8701171875,8892.8701171875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.615,8916.2861328125,,,9221.4443359375,8906.4443359375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.625,8930.822265625,,,9233.11328125,8921.11328125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.635,8945.3466796875,,,9246.78125,8936.78125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.645,8959.8828125,,,9262.44921875,8953.44921875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.655,8974.431640625,,,9276.244140625,8966.244140625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.665,8988.673828125,,,9288.607421875,8981.607421875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.675,9002.9072265625,,,9302.7158203125,8996.7158203125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.685,9017.1552734375,,,9314.82421875,9010.82421875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.695,9031.4013671875,,,9329.9326171875,9025.9326171875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.705,9045.66015625,,,9346.041015625,9039.041015625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.715,9060.1923828125,,,9358.1318359375,9054.1318359375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.725,9074.7763671875,,,9368.6767578125,9068.6767578125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.735,9089.357421875,,,9381.220703125,9084.220703125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.745,9103.9375,,,9395.765625,9098.765625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.755,9118.5390625,,,9410.310546875,9112.310546875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.765,9132.716796875,,,9424.1416015625,9127.1416015625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.775,9146.884765625,,,9439.0068359375,9142.0068359375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.785,9161.0166015625,,,9458.87109375,9157.87109375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.795,9175.154296875,,,9474.736328125,9172.736328125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.805,9189.294921875,,,9489.6005859375,9187.6005859375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.815,9203.2646484375,,,9502.12890625,9200.12890625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.825,9217.2099609375,,,9513.2841796875,9214.2841796875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.835,9231.138671875,,,9528.4345703125,9229.4345703125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.845,9245.0654296875,,,9543.5859375,9242.5859375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.855,9259.0087890625,,,9557.736328125,9257.736328125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.865,9273.265625,,,9569.51171875,9272.51171875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.875,9287.564453125,,,9580.5634765625,9286.5634765625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.885,9301.859375,,,9590.615234375,9301.615234375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.895,9316.166015625,,,9600.6669921875,9316.6669921875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.905,9330.4482421875,,,9611.71875,9330.71875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.915,9344.6435546875,,,9624.2841796875,9345.2841796875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.925,9358.7744140625,,,9637.953125,9360.953125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.935,9372.9208984375,,,9651.6220703125,9375.6220703125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.945,9387.0869140625,,,9665.291015625,9390.291015625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.955,9401.24609375,,,9681.9599609375,9403.9599609375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.965,9414.966796875,,,9694.1396484375,9418.1396484375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.975,9428.5986328125,,,9706.3466796875,9432.3466796875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.985,9442.248046875,,,9716.5546875,9446.5546875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,7.995,9455.8916015625,,,9727.7626953125,9461.7626953125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.005,9469.521484375,,,9740.9697265625,9475.9697265625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.015,9483.2626953125,,,9755.228515625,9488.228515625,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.025,9496.9951171875,,,9761.921875,9500.921875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.035,9510.7548828125,,,9772.6162109375,9516.6162109375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.045,9524.5146484375,,,9793.3095703125,9531.3095703125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.055,9538.2470703125,,,9798.0029296875,9544.0029296875,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.065,9552.826171875,,,9808.67578125,9558.67578125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.075,9567.6142578125,,,9825.126953125,9572.126953125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.085,9582.3876953125,,,9840.5771484375,9586.5771484375,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.095,9597.177734375,,,9856.0283203125,9602.0283203125,3,Age model from Jonkers et al. (2020),,1
RAPiD-17-5-P,,8.105,9611.9814453125,,,9871.4794921875,9617.4794921875,3,Age model from Jonkers et al. (2020),,1
