Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RAPiD-17-5-P,,,,3.285,3.285,,,,,,3.285,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,5.925,5.925,,,,,,5.925,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,6.485,6.485,,,,,,6.485,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,6.565,6.565,,,,,,6.565,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,6.645,6.645,,,,,,6.645,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,7.265,7.265,,,,,,7.265,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,7.345,7.345,,,,,,7.345,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,7.505,7.505,,,,,,7.505,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,7.665,7.665,,,,,,7.665,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,8.065,8.065,,,,,,8.065,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,8.805,8.805,,,,,,8.805,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.005,9.005,,,,,,9.005,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.125,9.125,,,,,,9.125,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.185,9.185,,,,,,9.185,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.285,9.285,,,,,,9.285,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.305,9.305,,,,,,9.305,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.485,9.485,,,,,,9.485,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.505,9.505,,,,,,9.505,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.525,9.525,,,,,,9.525,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.565,9.565,,,,,,9.565,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.585,9.585,,,,,,9.585,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.605,9.605,,,,,,9.605,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.625,9.625,,,,,,9.625,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.645,9.645,,,,,,9.645,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.665,9.665,,,,,,9.665,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.675,9.675,,,,,,9.675,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.685,9.685,,,,,,9.685,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.695,9.695,,,,,,9.695,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.705,9.705,,,,,,9.705,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.715,9.715,,,,,,9.715,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.725,9.725,,,,,,9.725,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.735,9.735,,,,,,9.735,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.745,9.745,,,,,,9.745,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.755,9.755,,,,,,9.755,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.765,9.765,,,,,,9.765,depth model from Jonkers et al. 2020,
RAPiD-17-5-P,,,,9.775,9.775,,,,,,9.775,depth model from Jonkers et al. 2020,
