Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
RAPiD-17-5-P,,3.285,1.26,2.75,1.26,2.75,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,5.925,1.25,2.85,1.25,2.85,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,6.485,1.25,3.02,1.25,3.02,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,6.565,1.2,2.9,1.2,2.9,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,6.645,1.25,2.9,1.25,2.9,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,7.265,0.94,2.94,0.94,2.94,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,7.345,0.92,3.0,0.92,3.0,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,7.505,0.64,3.03,0.64,3.03,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,7.665,0.6,2.99,0.6,2.99,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,8.065,0.81,3.06,0.81,3.06,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,8.805,0.68,3.19,0.68,3.19,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.005,0.87,3.04,0.87,3.04,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.125,0.95,3.17,0.95,3.17,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.185,0.9,3.13,0.9,3.13,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.285,0.49,3.12,0.49,3.12,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.305,0.49,3.18,0.49,3.18,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.485,0.8,3.89,0.8,3.89,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.505,0.73,3.8,0.73,3.8,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.525,0.96,3.95,0.96,3.95,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.565,0.88,3.69,0.88,3.69,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
RAPiD-17-5-P,,9.585,0.97,3.69,0.97,3.69,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Thornalley, D. J. R., Elderfield, H. and McCave, I. N.: Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years, Paleoceanography, 25(1), doi:10.1029/2009pa001833, 2010.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thornalley2010b/thornalley2010b-17-5p-benth.txt,1
