Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
RC11-83,,1.12,,NaN,inflata,5860,50,50,565.1,50,50,6083,97,90,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,1.63,,NaN,mixed,8890,60,60,532.5,58.7,58.7,9385,77,81,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,1.63,,NaN,inflata,8750,40,40,518.7,50,50,9201,87,77,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,1.89,,NaN,mixed,9990,78,78,434,92.8,92.8,10913,176,189,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.05,,NaN,inflata,10400,60,60,450.1,57.5,57.5,11347,251,96,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.05,,NaN,mixed,10360,40,40,447.7,50.7,50.7,11290,95,46,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.21,,NaN,inflata,11930,100,100,812.4,67.5,67.5,12993,91,144,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.31,,NaN,mixed,12120,100,100,779.2,67.4,67.4,13186,91,90,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.48,,NaN,mixed,12910,100,100,658.7,74.6,74.6,14153,180,149,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.62,,AA5974,Globigerina bulloides,13230,110,110,754.1,76,76,14652,345,364,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.77,,AA5975,Globigerina bulloides,13000,70,70,647.1,75.3,75.3,14352,300,220,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.77,,AA5976,Globigerina bulloides,13400,90,90,813.8,76.9,76.9,14942,197,228,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,2.98,,AA.5977,Globigerina bulloides,14310,110,110,864.5,81.4,81.4,16176,176,182,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,3.35,,AA5978,Globigerina bulloides,15620,120,120,1047.8,81,81,17757,175,172,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,3.68,,AA5979,Globigerina bulloides,16750,90,90,964.7,81.7,81.7,19028,143,125,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,3.9,,AA5980,Globigerina bulloides,17250,110,110,970.8,82.7,82.7,19655,202,160,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,4.26,,OS33457,Mixed planktonics,17700,120,120,983.9,84.7,84.7,20164,194,182,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,4.77,,OS3458,Mixed planktonics,19600,120,120,1065.1,88.6,88.6,22417,117,116,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,5.46,,OS3530,Mixed planktonics,21300,120,120,1094.2,94.2,94.2,24274,199,202,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,6.44,,OS3529,Mixed planktonics,24100,120,120,1274,88.5,88.5,27209,183,187,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,7.56,,OS3528,Mixed planktonics,28400,120,120,1121.5,91.2,91.2,31186,149,151,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,8.44,,OS83531,Mixed planktonics,32000,120,120,997.9,82.6,82.6,34872,206,208,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,9.43,,OAS33459,Mixed planktonics,35800,120,120,1084,99.7,99.7,39208,339,317,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
RC11-83,,12.39,,,,,,,,,,62000,3200,3200,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://www.sciencedirect.com/science/article/pii/S0012821X04003784?via%3Dihub, https://doi.org/10.1594/PANGAEA.837314"
