Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RC11-83,,,,0.62,0.62,,,,,,0.62,depth model from Jonkers et al. 2020,
RC11-83,,,,1.25,1.25,,,,,,1.25,depth model from Jonkers et al. 2020,
RC11-83,,,,1.58,1.58,,,,,,1.58,depth model from Jonkers et al. 2020,
RC11-83,,,,1.63,1.63,,,,,,1.63,depth model from Jonkers et al. 2020,
RC11-83,,,,1.65,1.65,,,,,,1.65,depth model from Jonkers et al. 2020,
RC11-83,,,,1.7,1.7,,,,,,1.7,depth model from Jonkers et al. 2020,
RC11-83,,,,1.75,1.75,,,,,,1.75,depth model from Jonkers et al. 2020,
RC11-83,,,,1.82,1.82,,,,,,1.82,depth model from Jonkers et al. 2020,
RC11-83,,,,1.86,1.86,,,,,,1.86,depth model from Jonkers et al. 2020,
RC11-83,,,,1.89,1.89,,,,,,1.89,depth model from Jonkers et al. 2020,
RC11-83,,,,1.91,1.91,,,,,,1.91,depth model from Jonkers et al. 2020,
RC11-83,,,,1.97,1.97,,,,,,1.97,depth model from Jonkers et al. 2020,
RC11-83,,,,2.05,2.05,,,,,,2.05,depth model from Jonkers et al. 2020,
RC11-83,,,,2.15,2.15,,,,,,2.15,depth model from Jonkers et al. 2020,
RC11-83,,,,2.17,2.17,,,,,,2.17,depth model from Jonkers et al. 2020,
RC11-83,,,,2.2,2.2,,,,,,2.2,depth model from Jonkers et al. 2020,
RC11-83,,,,2.25,2.25,,,,,,2.25,depth model from Jonkers et al. 2020,
RC11-83,,,,2.28,2.28,,,,,,2.28,depth model from Jonkers et al. 2020,
RC11-83,,,,2.32,2.32,,,,,,2.32,depth model from Jonkers et al. 2020,
RC11-83,,,,2.33,2.33,,,,,,2.33,depth model from Jonkers et al. 2020,
RC11-83,,,,2.35,2.35,,,,,,2.35,depth model from Jonkers et al. 2020,
RC11-83,,,,2.38,2.38,,,,,,2.38,depth model from Jonkers et al. 2020,
RC11-83,,,,2.45,2.45,,,,,,2.45,depth model from Jonkers et al. 2020,
RC11-83,,,,2.55,2.55,,,,,,2.55,depth model from Jonkers et al. 2020,
RC11-83,,,,2.6,2.6,,,,,,2.6,depth model from Jonkers et al. 2020,
RC11-83,,,,2.65,2.65,,,,,,2.65,depth model from Jonkers et al. 2020,
RC11-83,,,,2.7,2.7,,,,,,2.7,depth model from Jonkers et al. 2020,
RC11-83,,,,2.75,2.75,,,,,,2.75,depth model from Jonkers et al. 2020,
RC11-83,,,,2.78,2.78,,,,,,2.78,depth model from Jonkers et al. 2020,
RC11-83,,,,2.85,2.85,,,,,,2.85,depth model from Jonkers et al. 2020,
RC11-83,,,,2.88,2.88,,,,,,2.88,depth model from Jonkers et al. 2020,
RC11-83,,,,2.95,2.95,,,,,,2.95,depth model from Jonkers et al. 2020,
RC11-83,,,,3.15,3.15,,,,,,3.15,depth model from Jonkers et al. 2020,
RC11-83,,,,3.25,3.25,,,,,,3.25,depth model from Jonkers et al. 2020,
RC11-83,,,,3.35,3.35,,,,,,3.35,depth model from Jonkers et al. 2020,
RC11-83,,,,3.51,3.51,,,,,,3.51,depth model from Jonkers et al. 2020,
RC11-83,,,,3.56,3.56,,,,,,3.56,depth model from Jonkers et al. 2020,
RC11-83,,,,3.61,3.61,,,,,,3.61,depth model from Jonkers et al. 2020,
RC11-83,,,,3.65,3.65,,,,,,3.65,depth model from Jonkers et al. 2020,
RC11-83,,,,3.81,3.81,,,,,,3.81,depth model from Jonkers et al. 2020,
RC11-83,,,,3.95,3.95,,,,,,3.95,depth model from Jonkers et al. 2020,
RC11-83,,,,4.05,4.05,,,,,,4.05,depth model from Jonkers et al. 2020,
RC11-83,,,,4.15,4.15,,,,,,4.15,depth model from Jonkers et al. 2020,
RC11-83,,,,4.25,4.25,,,,,,4.25,depth model from Jonkers et al. 2020,
