Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RC12-344,,,,0.25,0.25,,,,,,0.25,,
RC12-344,,,,0.35,0.35,,,,,,0.35,,
RC12-344,,,,0.45,0.45,,,,,,0.45,,
RC12-344,,,,0.55,0.55,,,,,,0.55,,
RC12-344,,,,0.65,0.65,,,,,,0.65,,
RC12-344,,,,0.75,0.75,,,,,,0.75,,
RC12-344,,,,0.85,0.85,,,,,,0.85,,
RC12-344,,,,1.05,1.05,,,,,,1.05,,
RC12-344,,,,1.15,1.15,,,,,,1.15,,
RC12-344,,,,1.27,1.27,,,,,,1.27,,
RC12-344,,,,1.35,1.35,,,,,,1.35,,
RC12-344,,,,1.45,1.45,,,,,,1.45,,
RC12-344,,,,1.55,1.55,,,,,,1.55,,
RC12-344,,,,1.65,1.65,,,,,,1.65,,
RC12-344,,,,1.75,1.75,,,,,,1.75,,
RC12-344,,,,1.85,1.85,,,,,,1.85,,
RC12-344,,,,1.94,1.94,,,,,,1.94,,
RC12-344,,,,2.06,2.06,,,,,,2.06,,
RC12-344,,,,2.15,2.15,,,,,,2.15,,
RC12-344,,,,2.25,2.25,,,,,,2.25,,
RC12-344,,,,2.34,2.34,,,,,,2.34,,
RC12-344,,,,2.46,2.46,,,,,,2.46,,
RC12-344,,,,2.54,2.54,,,,,,2.54,,
RC12-344,,,,2.65,2.65,,,,,,2.65,,
RC12-344,,,,2.75,2.75,,,,,,2.75,,
RC12-344,,,,2.85,2.85,,,,,,2.85,,
RC12-344,,,,2.94,2.94,,,,,,2.94,,
RC12-344,,,,3.06,3.06,,,,,,3.06,,
RC12-344,,,,3.15,3.15,,,,,,3.15,,
RC12-344,,,,3.25,3.25,,,,,,3.25,,
RC12-344,,,,3.35,3.35,,,,,,3.35,,
RC12-344,,,,3.45,3.45,,,,,,3.45,,
RC12-344,,,,3.55,3.55,,,,,,3.55,,
RC12-344,,,,3.66,3.66,,,,,,3.66,,
RC12-344,,,,3.75,3.75,,,,,,3.75,,
RC12-344,,,,3.85,3.85,,,,,,3.85,,
RC12-344,,,,3.95,3.95,,,,,,3.95,,
RC12-344,,,,4.05,4.05,,,,,,4.05,,
RC12-344,,,,4.15,4.15,,,,,,4.15,,
RC12-344,,,,4.25,4.25,,,,,,4.25,,
RC12-344,,,,4.35,4.35,,,,,,4.35,,
RC12-344,,,,4.45,4.45,,,,,,4.45,,
RC12-344,,,,4.55,4.55,,,,,,4.55,,
RC12-344,,,,4.65,4.65,,,,,,4.65,,
RC12-344,,,,4.76,4.76,,,,,,4.76,,
RC12-344,,,,4.9,4.9,,,,,,4.9,,
