Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RR0503-125JPC,,0.005,504.5433349609375,,,709.052978515625,300.0530090332031,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.015,597.6286010742188,,,906.0067138671875,347.0067138671875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.025,690.7139892578125,,,1203.261474609375,389.26141357421875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.035,783.7980346679688,,,1508.51611328125,424.5160827636719,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.045,876.8831787109375,,,1815.770751953125,452.7707824707031,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.055,969.9674072265625,,,2077.025390625,475.0254821777344,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.065,1054.869140625,,,2238.399169921875,520.399169921875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.075,1139.70849609375,,,2380.73193359375,564.73193359375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.085,1224.5501708984375,,,2437.064697265625,609.0647583007812,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.095,1309.3895263671875,,,2574.3974609375,634.3975830078125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.105,1394.2296142578125,,,2735.73046875,653.7303466796875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.115,1483.8414306640625,,,2787.93505859375,737.9349365234375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.125,1573.5235595703125,,,2843.89599609375,782.89599609375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.135,1663.204345703125,,,2893.85693359375,833.8569946289062,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.145,1752.886474609375,,,2970.81787109375,868.8179931640625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.155,1842.5677490234375,,,3080.84130859375,915.8411865234375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.165,1920.7435302734375,,,3146.99853515625,990.9984130859375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.17500000000000002,1998.65966796875,,,3224.134765625,1056.134765625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.185,2076.577392578125,,,3298.27099609375,1099.27099609375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.195,2154.495361328125,,,3370.4072265625,1130.4072265625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.20500000000000002,2232.412841796875,,,3483.54345703125,1161.5435791015625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.215,2316.925048828125,,,3559.4111328125,1256.4112548828125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.225,2401.634521484375,,,3652.22607421875,1365.2261962890625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.23500000000000001,2486.342529296875,,,3813.041015625,1451.041015625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.245,2571.0537109375,,,3941.85595703125,1511.85595703125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.255,2655.76025390625,,,4110.79296875,1562.79296875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.265,2749.8193359375,,,4198.3935546875,1656.3936767578125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.275,2844.22802734375,,,4298.3232421875,1718.323486328125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.28500000000000003,2938.632568359375,,,4412.25341796875,1767.2532958984375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.295,3033.041015625,,,4537.18310546875,1818.18310546875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.305,3127.44873046875,,,4696.11279296875,1833.11279296875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.315,3219.730712890625,,,4777.857421875,1925.857177734375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.325,3311.916259765625,,,4830.5810546875,2033.5809326171875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.335,3404.10546875,,,4887.759765625,2098.759765625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.34500000000000003,3496.291259765625,,,4927.9384765625,2154.9384765625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.355,3588.477294921875,,,5056.1171875,2229.1171875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.365,3673.011962890625,,,5131.83154296875,2324.83154296875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.375,3757.138427734375,,,5218.89453125,2426.89453125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.385,3841.26171875,,,5309.95751953125,2519.95751953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.395,3925.390380859375,,,5375.0205078125,2587.020751953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.405,4009.513671875,,,5505.7861328125,2646.785888671875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.41500000000000004,4095.62646484375,,,5582.3505859375,2743.350341796875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
RR0503-125JPC,,0.425,4181.85498046875,,,5635.423828125,2839.423583984375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, IntCal20 calibration",1
