Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RR0503-83TC-83JPC,,TC 83,,0.015,,,,,,,0.015,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.035,,,,,,,0.035,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.085,,,,,,,0.085,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.135,,,,,,,0.135,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.185,,,,,,,0.185,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.155,,,,,,,0.155,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.235,,,,,,,0.235,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.285,,,,,,,0.285,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.165,,,,,,,0.165,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.335,,,,,,,0.335,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.385,,,,,,,0.385,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.175,,,,,,,0.175,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.445,,,,,,,0.445,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.185,,,,,,,0.185,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.505,,,,,,,0.505,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.555,,,,,,,0.555,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.195,,,,,,,0.195,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.605,,,,,,,0.605,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.645,,,,,,,0.645,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.685,,,,,,,0.685,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.705,,,,,,,0.705,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.735,,,,,,,0.735,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.755,,,,,,,0.755,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.215,,,,,,,0.215,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.805,,,,,,,0.805,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.835,,,,,,,0.835,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.855,,,,,,,0.855,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.875,,,,,,,0.875,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,JPC 83,,0.225,,,,,,,0.225,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.905,,,,,,,0.905,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.925,,,,,,,0.925,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.955,,,,,,,0.955,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.965,,,,,,,0.965,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.975,,,,,,,0.975,depth model from Sikes et al. 2016,
RR0503-83TC-83JPC,,TC 83,,0.995,,,,,,,0.995,depth model from Sikes et al. 2016,
