Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
RR0503-83TC-83JPC,,0.155,0.7924,2.748,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.165,0.5967,2.3486,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.17500000000000002,0.7823,2.5033,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.185,0.6375,2.5504,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.195,0.5775,2.5213,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.215,0.5228,2.8451,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.225,0.5099,3.2287,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.23500000000000001,0.3637,3.1917,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.245,0.2369,3.1373,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.255,0.3265,3.1157,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.265,0.3484,3.1256,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.275,0.444,3.4412,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.28500000000000003,0.4118,3.742,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.295,0.401,3.8723,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.315,0.3628,3.9346,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.325,0.3604,3.7074,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.335,0.2146,3.6895,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.34500000000000003,0.2032,4.0103,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.355,0.1338,4.1611,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.365,-0.099,4.1802,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.375,0.1171,3.9434,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.385,-0.1101,4.0226,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.395,-0.055,4.147,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.41500000000000004,0.013000000000000001,4.1156,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.425,0.0784,4.1945,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.435,-0.161,4.281000000000001,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.445,0.0532,4.2584,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.455,-0.047,4.1603,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.465,-0.0281,4.1475,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.47500000000000003,-0.2225,3.9837,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.485,0.3398,3.9942,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.495,-0.11,4.1186,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.515,-0.0432,4.1786,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.525,-0.0722,4.2154,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.545,-0.0271,4.1315,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.555,0.0183,4.1856,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.5650000000000001,0.0563,4.1538,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.5750000000000001,-0.0716,4.1417,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.585,-0.0385,4.0901,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.595,-0.1163,4.0465,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.615,0.0624,4.1369,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.625,0.0772,4.1029,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.635,0.0874,4.1123,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.645,0.0859,4.0037,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.655,-0.0315,4.2226,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.665,0.3336,3.9165,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.675,0.162,3.8192,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.685,-0.0879,4.0608,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.6950000000000001,0.0083,4.2309,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.705,-0.0894,4.2121,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.715,-0.244,4.2714,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.725,-0.1849,4.1737,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.735,-0.2462,4.1298,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.745,-0.1653,4.1772,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.755,-0.0253,4.1492,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.765,-0.1358,4.1709,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.775,-0.0351,4.2402,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.785,-0.2905,3.6333,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.795,-0.1106,4.1434,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.8150000000000001,-0.611,3.2867,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.8250000000000001,0.0493,4.0761,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.845,-0.1145,3.9917,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.865,-0.0363,4.1241,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.885,0.0226,4.1076,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.905,-0.055999999999999994,4.0163,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.925,0.0243,4.1087,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.9450000000000001,0.0992,4.1012,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.965,0.0664,4.0307,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,0.985,-0.1963,3.967,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.0150000000000001,-0.1638,4.1459,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.035,-0.1044,4.045,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.055,-0.0653,4.0816,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.075,-0.1144,4.0287,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.095,-0.1892,3.9963,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.115,-0.2262,3.9573,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.145,-0.1107,3.9774,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.165,-0.0508,3.9461,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.185,-0.0017,3.9253,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.225,0.0853,3.9425,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.245,0.1858,4.0986,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.2650000000000001,0.14800000000000002,3.8836,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.285,0.213,4.0275,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.325,-0.027000000000000003,3.9659,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.365,0.0116,3.824,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.405,-0.2214,3.9765,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.425,0.006,3.9542,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.445,-0.0323,4.071000000000001,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.465,0.2096,3.6927,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.485,0.036000000000000004,3.8688,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.5350000000000001,0.2507,4.099,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.545,0.6434,3.8418,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.555,0.0235,4.118,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.585,0.2071,3.9610000000000003,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.635,0.2332,3.9335,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.645,-0.2058,3.6565,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.665,0.1101,3.8325,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.7650000000000001,0.1301,3.9334,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.7850000000000001,-0.0148,3.4248,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,1.815,-0.1487,4.0172,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
RR0503-83TC-83JPC,,2.485,0.3352,3.2895,,,,,,Cibicidoides wuellerstorfi,1,,,,,Provided by Alan Mix for OC3,,,,1
