Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RR0503-87JPC,,0.065,8239.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.085,8466.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.105,8694.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.125,8921.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.145,9149.300000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.165,9376.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.185,9604.300000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.20500000000000002,9831.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.225,10059.300000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.245,10286.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.265,10514.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.28500000000000003,10741.699999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.305,10969.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.325,11196.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.34500000000000003,11424.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.365,11651.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.385,11879.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.405,12106.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.425,12334.199999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.445,12561.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.465,12789.199999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.485,13016.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.505,13244.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.525,13471.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.545,13699.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.5650000000000001,13926.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.585,14154.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.605,14381.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.625,14609.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.645,14836.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.665,15064.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.685,15291.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.705,15519.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.725,15746.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.745,15974.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.765,16201.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.785,16429.000000000004,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.805,16656.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.8250000000000001,16884.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.845,17111.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.865,17339.000000000004,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.885,17566.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.905,17793.9,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.925,18021.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.9450000000000001,18248.899999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.965,18476.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,0.985,18703.9,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.0050000000000001,18931.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.025,19158.899999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.045,19386.399999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.085,19841.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.105,20068.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.125,20296.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.145,20523.800000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.165,20751.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.185,20978.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.195,21092.600000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.225,21433.800000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.245,21661.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.27,21945.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.285,22116.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.305,22343.800000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.325,22571.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.345,22798.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.365,23026.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.385,23253.699999999997,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.405,23481.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.425,23708.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.445,23936.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.465,24163.699999999997,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.485,24391.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.5050000000000001,24618.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.5250000000000001,24846.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.545,25073.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.565,25301.100000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.585,25471.800000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.625,25926.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.645,26154.399999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87JPC,,1.665,26381.999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
