Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RR0503-87JPC,,87 TC,,0.005,,,,,,,,,
RR0503-87JPC,,87 TC,,0.065,,,,,,,,,
RR0503-87JPC,,87 TC,,0.105,,,,,,,,,
RR0503-87JPC,,87 TC,,0.165,,,,,,,,,
RR0503-87JPC,,87 TC,,0.205,,,,,,,,,
RR0503-87JPC,,87 TC,,0.265,,,,,,,,,
RR0503-87JPC,,87 TC,,0.305,,,,,,,,,
RR0503-87JPC,,87 TC,,0.365,,,,,,,,,
RR0503-87JPC,,87 TC,,0.405,,,,,,,,,
RR0503-87JPC,,87 TC,,0.465,,,,,,,,,
RR0503-87JPC,,87 TC,,0.525,,,,,,,,,
RR0503-87JPC,,87 TC,,0.565,,,,,,,,,
RR0503-87JPC,,87 TC,,0.665,,,,,,,,,
RR0503-87JPC,,87 TC,,0.725,,,,,,,,,
RR0503-87JPC,,87 TC,,0.745,,,,,,,,,
RR0503-87JPC,,87 TC,,0.865,,,,,,,,,
RR0503-87JPC,,87 TC,,0.925,,,,,,,,,
RR0503-87JPC,,87 TC,,0.965,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.065,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.085,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.105,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.125,,,,,,,,,
RR0503-87JPC,,87 TC,,1.025,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.145,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.165,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.185,,,,,,,,,
RR0503-87JPC,,87 TC,,1.065,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.205,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.225,,,,,,,,,
RR0503-87JPC,,87 TC,,1.125,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.245,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.265,,,,,,,,,
RR0503-87JPC,,87 TC,,1.165,,,,,,,,,
RR0503-87JPC,,87 JPC,,0.285,,,,,,,,,
