Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
RR0503-87TC,,0.005,36.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.065,475.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.105,767.8000000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.165,1206.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.20500000000000002,1499.1000000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.265,1937.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.305,2230.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.365,2669.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.405,2961.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.465,3400.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.525,3839.1000000000004,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.5650000000000001,4131.599999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.625,4570.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.665,4862.9,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.725,5301.700000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.745,5447.9,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.865,6325.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.925,6764.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,0.965,7044.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.025,8209.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.065,8986.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.125,9620.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.165,10015.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.225,10608.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.245,10806.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.2650000000000001,11003.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.285,11201.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.305,11399.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.325,11596.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.345,11794.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.365,11992.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.385,12189.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.405,12387.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.425,12585.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.445,12782.7,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.465,12980.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.485,13177.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.5050000000000001,13375.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.5250000000000001,13573.3,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.545,13770.9,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.565,13968.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.585,14017.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.605,14067.199999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.625,14263.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.645,14460.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
RR0503-87TC,,1.665,14657.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
