Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SAN-76,,0.13,2708.607421875,,,2929.090087890625,2415.090087890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.14,2797.2373046875,,,3097.29052734375,2483.29052734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.15,2885.864501953125,,,3331.32080078125,2534.32080078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.16,2974.490478515625,,,3555.351318359375,2576.351318359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.17,3063.116943359375,,,3841.381591796875,2596.381591796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.18,3151.746826171875,,,4099.412109375,2610.412109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.19,3239.9921875,,,4199.61181640625,2680.61181640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.2,3328.22119140625,,,4311.67578125,2737.675537109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.21,3416.455078125,,,4436.64453125,2779.64453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.22,3504.687744140625,,,4607.61328125,2815.613525390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.23,3592.91845703125,,,4748.58251953125,2844.58251953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.24,3674.421142578125,,,4843.74072265625,2923.74072265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.25,3755.377685546875,,,4923.755859375,2975.755615234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.26,3836.3369140625,,,5036.50244140625,3013.50244140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.27,3917.29443359375,,,5139.2490234375,3042.249267578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.28,3998.25634765625,,,5254.99609375,3074.99609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.29,4089.073974609375,,,5336.802734375,3143.802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.3,4181.14111328125,,,5433.1240234375,3224.1240234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.31,4273.21044921875,,,5524.4453125,3271.4453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.32,4365.27734375,,,5675.7666015625,3310.766357421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.33,4457.345703125,,,5775.087890625,3333.087646484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.34,4546.82568359375,,,5890.11962890625,3438.11962890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.35000000000000003,4635.849609375,,,5973.74755859375,3504.74755859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.36,4724.869140625,,,6101.86767578125,3557.86767578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.37,4813.8935546875,,,6191.7685546875,3601.768798828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.38,4902.91845703125,,,6355.8603515625,3635.860595703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.39,4998.69189453125,,,6434.279296875,3726.279296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.4,5096.02685546875,,,6521.8212890625,3827.8212890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.41000000000000003,5193.359375,,,6649.36328125,3892.36328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.42,5290.69970703125,,,6849.40380859375,3926.40380859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.43,5388.03466796875,,,6972.404296875,3960.404541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.44,5480.43896484375,,,7018.8037109375,4048.803955078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.45,5571.40673828125,,,7113.431640625,4142.431640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.46,5662.38427734375,,,7202.888671875,4230.888671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.47000000000000003,5753.35986328125,,,7330.3466796875,4291.3466796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.48,5844.33203125,,,7432.8037109375,4329.8037109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.49,5938.2734375,,,7515.9453125,4419.9453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.5,6033.25830078125,,,7584.3310546875,4512.3310546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.51,6128.25634765625,,,7767.71630859375,4652.71630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.52,6223.24365234375,,,7886.1015625,4764.1015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.53,6318.2373046875,,,8055.4873046875,4823.4873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.54,6403.74267578125,,,8112.333984375,4918.333984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.55,6485.1689453125,,,8186.37744140625,4971.37744140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.56,6566.60791015625,,,8267.421875,5040.42138671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.5700000000000001,6648.041015625,,,8328.4658203125,5089.4658203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.58,6729.4755859375,,,8472.509765625,5125.509765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.59,6812.26611328125,,,8533.7861328125,5215.7861328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.6,6895.7392578125,,,8621.03515625,5295.03466796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.61,6979.22412109375,,,8710.283203125,5365.283203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.62,7062.70166015625,,,8787.53125,5423.53173828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.63,7146.1796875,,,8911.7802734375,5506.7802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.64,7235.24169921875,,,9008.09765625,5584.09814453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.65,7327.6484375,,,9085.4580078125,5637.4580078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.66,7420.06640625,,,9186.818359375,5727.81787109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.67,7512.482421875,,,9302.37890625,5774.37939453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.68,7604.888671875,,,9415.0322265625,5847.0322265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.6900000000000001,7693.3642578125,,,9518.19140625,5917.19140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.7000000000000001,7779.06640625,,,9590.2744140625,6017.2744140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.71,7864.767578125,,,9655.54296875,6083.54296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.72,7950.4765625,,,9775.8115234375,6136.8115234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SAN-76,,0.73,8036.18017578125,,,9879.080078125,6166.080078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
