Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
SAN-76,,,,0.03,0.03,,,,,,0.03,,
SAN-76,,,,0.13,0.13,,,,,,0.13,,
SAN-76,,,,0.25,0.25,,,,,,0.25,,
SAN-76,,,,0.36,0.36,,,,,,0.36,,
SAN-76,,,,0.47,0.47,,,,,,0.47,,
SAN-76,,,,0.51,0.51,,,,,,0.51,,
SAN-76,,,,0.55,0.55,,,,,,0.55,,
SAN-76,,,,0.6,0.6,,,,,,0.6,,
SAN-76,,,,0.65,0.65,,,,,,0.65,,
SAN-76,,,,0.7,0.7,,,,,,0.7,,
SAN-76,,,,0.81,0.81,,,,,,0.81,,
SAN-76,,,,0.92,0.92,,,,,,0.92,,
SAN-76,,,,1.04,1.04,,,,,,1.04,,
SAN-76,,,,1.15,1.15,,,,,,1.15,,
SAN-76,,,,1.26,1.26,,,,,,1.26,,
SAN-76,,,,1.37,1.37,,,,,,1.37,,
SAN-76,,,,1.48,1.48,,,,,,1.48,,
SAN-76,,,,1.59,1.59,,,,,,1.59,,
SAN-76,,,,1.7,1.7,,,,,,1.7,,
SAN-76,,,,1.81,1.81,,,,,,1.81,,
SAN-76,,,,1.92,1.92,,,,,,1.92,,
SAN-76,,,,2.04,2.04,,,,,,2.04,,
SAN-76,,,,2.16,2.16,,,,,,2.16,,
SAN-76,,,,2.41,2.41,,,,,,2.41,,
SAN-76,,,,2.53,2.53,,,,,,2.53,,
SAN-76,,,,2.64,2.64,,,,,,2.64,,
SAN-76,,,,2.76,2.76,,,,,,2.76,,
SAN-76,,,,2.87,2.87,,,,,,2.87,,
SAN-76,,,,2.98,2.98,,,,,,2.98,,
SAN-76,,,,3.09,3.09,,,,,,3.09,,
SAN-76,,,,3.2,3.2,,,,,,3.2,,
SAN-76,,,,3.31,3.31,,,,,,3.31,,
SAN-76,,,,3.42,3.42,,,,,,3.42,,
SAN-76,,,,3.53,3.53,,,,,,3.53,,
SAN-76,,,,3.64,3.64,,,,,,3.64,,
SAN-76,,,,3.75,3.75,,,,,,3.75,,
SAN-76,,,,3.86,3.86,,,,,,3.86,,
SAN-76,,,,3.97,3.97,,,,,,3.97,,
SAN-76,,,,4.03,4.03,,,,,,4.03,,
SAN-76,,,,4.08,4.08,,,,,,4.08,,
SAN-76,,,,4.12,4.12,,,,,,4.12,,
SAN-76,,,,4.16,4.16,,,,,,4.16,,
SAN-76,,,,4.19,4.19,,,,,,4.19,,
