Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
SAN-76,,0.03,1.201,2.506,1.201,2.506,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.13,1.138,2.608,1.138,2.608,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.25,1.151,2.462,1.151,2.462,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.36,0.871,2.628,0.871,2.628,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.47,0.839,2.569,0.839,2.569,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.51,0.835,2.528,0.835,2.528,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.55,0.825,3.488,0.825,3.488,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.6,1.02,3.273,1.02,3.273,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.65,0.825,3.424,0.825,3.424,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.7,0.867,3.119,0.867,3.119,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.81,0.786,3.503,0.786,3.503,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
SAN-76,,0.92,0.703,3.8,0.703,3.8,1-2,250,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Toledo, F. A.L., Costa, K. B., and Pivel, M. A.G.: Salinity changes in the western tropical South Atlantic during the last 30 kyr, Global and Planetary Change, 57, 383-395, doi:10.1016/j.gloplacha.2007.01.001, 2007.",,Toledo (pers. comm.),1
