Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
SCS90-36,,0.0,0.19,2.42,0.19,2.42,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.03,-0.14,2.01,-0.14,2.01,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.06,0.01,2.21,0.01,2.21,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.09,0.15,2.19,0.15,2.19,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.12,0.15,2.19,0.15,2.19,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.15,0.06,2.17,0.06,2.17,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.18,0.06,2.17,0.06,2.17,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.24,-0.08,2.33,-0.08,2.33,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.27,-0.08,2.33,-0.08,2.33,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
SCS90-36,,0.3,-0.1,2.63,-0.1,2.63,,350,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Huang, C.-Y., Wu, S.-F., Zhao, M., Chen, M.-T., Wang, C.-H., Tu, X., and Yuan, P. B.: Surface ocean and monsoon climate variability in the South China Sea since the last glaciation, Marine Micropaleontology, 32, 71-94, doi:10.1016/S0377-8398(97)00014-5, 1997.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.738491",1
