Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
SHAK-03-6K,,,,0.04,0.04,,,,,,0.04,,
SHAK-03-6K,,,,0.2,0.2,,,,,,0.2,,
SHAK-03-6K,,,,0.44,0.44,,,,,,0.44,,
SHAK-03-6K,,,,0.56,0.56,,,,,,0.56,,
SHAK-03-6K,,,,0.56,0.56,,,,,,0.56,,
SHAK-03-6K,,,,0.68,0.68,,,,,,0.68,,
SHAK-03-6K,,,,0.8,0.8,,,,,,0.8,,
SHAK-03-6K,,,,1,1,,,,,,1,,
SHAK-03-6K,,,,1.16,1.16,,,,,,1.16,,
SHAK-03-6K,,,,1.32,1.32,,,,,,1.32,,
SHAK-03-6K,,,,1.4,1.4,,,,,,1.4,,
SHAK-03-6K,,,,1.52,1.52,,,,,,1.52,,
SHAK-03-6K,,,,1.64,1.64,,,,,,1.64,,
SHAK-03-6K,,,,1.84,1.84,,,,,,1.84,,
SHAK-03-6K,,,,2,2,,,,,,2,,
SHAK-03-6K,,,,2.12,2.12,,,,,,2.12,,
SHAK-03-6K,,,,2.2,2.2,,,,,,2.2,,
SHAK-03-6K,,,,2.36,2.36,,,,,,2.36,,
SHAK-03-6K,,,,2.48,2.48,,,,,,2.48,,
SHAK-03-6K,,,,2.56,2.56,,,,,,2.56,,
SHAK-03-6K,,,,2.72,2.72,,,,,,2.72,,
SHAK-03-6K,,,,2.84,2.84,,,,,,2.84,,
SHAK-03-6K,,,,3.68,3.68,,,,,,3.68,,
