Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SHAK-14-4G,,1.9608900451660156,12024.00390625,,,12464.400390625,11521.400390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,1.9708900451660156,12050.892578125,,,12481.603515625,11564.603515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,1.9808900451660156,12077.7763671875,,,12495.806640625,11593.806640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,1.9908900451660156,12104.6611328125,,,12517.009765625,11640.009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.000890045166016,12131.564453125,,,12546.212890625,11666.212890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0108900451660157,12158.4580078125,,,12576.416015625,11687.416015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0208900451660154,12184.8310546875,,,12595.345703125,11724.345703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0308900451660157,12211.1806640625,,,12607.3623046875,11759.3623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0408900451660155,12237.529296875,,,12628.37890625,11784.37890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0508900451660157,12263.8798828125,,,12650.1015625,11820.1015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0608900451660155,12290.2529296875,,,12676.533203125,11839.533203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0708900451660157,12315.69921875,,,12691.23046875,11875.23046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0808900451660155,12341.1142578125,,,12715.94140625,11898.94140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.0908900451660157,12366.5244140625,,,12742.6513671875,11937.6513671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1008900451660155,12391.943359375,,,12774.3623046875,11972.3623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1108900451660157,12417.3564453125,,,12806.5986328125,11998.5986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1208900451660155,12444.6181640625,,,12821.75,12036.75,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1308900451660158,12472.0810546875,,,12829.4521484375,12075.4521484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1408900451660156,12499.5361328125,,,12848.1533203125,12096.1533203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.150890045166016,12526.970703125,,,12866.62109375,12123.62109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1608900451660156,12554.4228515625,,,12889.2109375,12157.2109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.170890045166016,12580.5068359375,,,12903.404296875,12207.404296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.1808900451660156,12606.423828125,,,12922.6630859375,12225.6630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.190890045166016,12632.33984375,,,12941.79296875,12262.79296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2008900451660156,12658.255859375,,,12968.94140625,12298.94140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.210890045166016,12684.1904296875,,,13000.08984375,12327.08984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2208900451660156,12710.146484375,,,13019.744140625,12379.744140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.230890045166016,12736.115234375,,,13030.28515625,12427.28515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2408900451660156,12762.0986328125,,,13038.8271484375,12473.8271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.250890045166016,12788.06640625,,,13054.369140625,12512.369140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2608900451660157,12814.0302734375,,,13076.9111328125,12541.9111328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.270890045166016,12839.4970703125,,,13088.310546875,12581.310546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2808900451660157,12864.830078125,,,13105.28125,12623.28125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SHAK-14-4G,,2.2908900451660155,12890.177734375,,,13125.2509765625,12667.2509765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
