Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),Upper_95_percent(y BP),Lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SK129-CR2,,0.025,3251,,,3626,375,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.03,3420,,,3833,683,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.04,3758,,,4391,1292,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.05,4095,,,4953,1914,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.06,4425,,,5442,2532,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.07,4740,,,5952,3150,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.08,5046,,,6485,3758,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.09,5364,,,6942,4297,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.1,5689,,,7319,4761,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.11,6014,,,7626,5158,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.12,6337,,,7910,5401,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.13,6718,,,8112,5750,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.14,7123,,,8449,6052,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.15,7515,,,8802,6411,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.16,7902,,,9150,6774,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.17,8291,,,9506,7070,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.18,8680,,,9900,7377,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.19,9041,,,10501,7808,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.2,9396,,,11100,8345,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.21,9752,,,11641,8897,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
SK129-CR2,,0.22,10101,,,12044,9352,3,Age model from Naik et al. 2023 Using undatable (as in Waelbroeck et al. (2019)) with IntCal20 calibration,,1
