Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
SK129-CR2,,0,0.53,2.88,0.53,2.88,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.08,0.47,2.55,0.47,2.55,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.14,0.44,2.72,0.44,2.72,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.16,-0.06,3.31,-0.06,3.31,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.18,0.23,3.41,0.23,3.41,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.18,0.23,3.41,0.23,3.41,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.22,0.12,3.84,0.12,3.84,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.24,0,4.01,0,4.01,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.26,0,4.16,0,4.16,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.3,0.03,4.14,0.03,4.14,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.32,-0.07,4.04,-0.07,4.04,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.36,-0.09,4.53,-0.09,4.53,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.4,-0.24,4.15,-0.24,4.15,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.44,-0.18,4.16,-0.18,4.16,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.48,-0.1,4.22,-0.1,4.22,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.52,-0.14,4.13,-0.14,4.13,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.52,-0.14,4.13,-0.14,4.13,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.56,-0.11,4.2,-0.11,4.2,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.58,-0.15,4.12,-0.15,4.12,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.6,-0.06,3.96,-0.06,3.96,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.62,-0.09,4.1,-0.09,4.1,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.64,-0.21,4.01,-0.21,4.01,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.66,-0.08,4.22,-0.08,4.22,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.68,-0.01,4.24,-0.01,4.24,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
SK129-CR2,,0.7,0.1,3.62,0.1,3.62,2-3,,,Cibicidoides wullerstorfi,1,,,,,,"Piotrowski et al., 2009, EPSL, Indian Ocean Circulation during the last glacial cycle",,,1
