Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SK157-GC14,,0.04,2649,3446,1970,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.05,2882,3834,2128,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.06,3118,4149,2308,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.07,3362,4503,2485,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.08,3599,4779,2641,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.09,3830,5046,2814,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.1,4058,5310,2996,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.11,4297,5573,3192,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.12,4527,5826,3375,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.13,4771,6096,3567,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.14,5009,6333,3744,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.15,5235,6605,3960,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.16,5468,6869,4195,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.17,5698,7097,4381,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.18,5933,7324,4588,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.19,6167,7555,4801,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.2,6398,7795,5027,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.21,6626,8013,5249,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.22,6867,8231,5487,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.23,7104,8443,5720,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.24,7345,8650,5961,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.25,7586,8887,6184,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.26,7830,9100,6459,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.27,8066,9304,6750,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.28,8303,9505,7001,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.29,8546,9710,7266,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.3,8784,9910,7534,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.31,9022,10096,7831,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.32,9254,10282,8123,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.33,9492,10472,8422,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.34,9735,10647,8746,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.35,9975,10813,9146,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.36,10211,10988,9550,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.37,10520,11447,9735,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.38,10839,11808,9945,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
SK157-GC14,,0.39,11146,12136,10197,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.4,11457,12448,10480,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.41,11774,12708,10759,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.42,12096,12925,11110,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.43,12404,13142,11463,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.44,12718,13334,11883,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.45,13020,13948,12123,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.46,13316,14371,12352,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.47,13606,14755,12590,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.48,13906,15112,12828,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.49,14205,15453,13076,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.5,14494,15711,13323,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.51,14794,16018,13577,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.52,15084,16293,13838,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
,,0.53,15382,16542,14101,,,3,Age model calculated by Lorraine Lisiecki,"BACON,IntCal13",1
