Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
SK157-GC16,,0.01,0.362,3.62,,,3-4,250,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.05,0.45,3.355,,,3-4,251,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.09,0.53,3.58,,,3-4,252,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.11,0.275,3.87,,,3-4,253,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.15,0.138,3.71,,,3-4,254,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.21,0.146,4.17,,,3-4,255,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.25,0.172,4.151,,,3-4,256,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.27,-0.12,3.94,,,3-4,257,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.29,-0.11,3.83,,,3-4,258,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
SK157-GC16,,0.31,-0.19,4.66,,,3-4,259,315,Cibicidoides wuellerstorfi,1,mostly C. wuellerstorfii,Cibicidoides kullenbergi was used only in those sediments where C. wuellerstorfi was insufficient,,,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International","T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",,"T. Raza, S.M. Ahmad, M. Sahoo, B. Banerjee, I. Bal, S. Dash, G. Suseela, I. Mukherjee, 2014. Hydrographic changes in the southern Bay of Bengal during the last ~65,000 y inferred from carbon and oxygen isotopes of foraminiferal fossil shells. Quaternary International",1
