Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SO136_003GC,,0.025,,,,3425.0,30.0,30.0,424.0,50.4,50.4,3188.0,165.0,184.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.055,,,,3860.0,35.0,35.0,431.0,50.5,50.5,3684.0,155.0,191.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.07,,,,4340.0,30.0,30.0,432.0,50.3,50.3,4331.0,186.0,178.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.11,,,,6440.0,45.0,45.0,525.0,50.3,50.3,6744.0,191.0,183.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.15,,,,6755.0,40.0,40.0,482.0,50.5,50.5,7175.0,148.0,179.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.15,,,,8755.0,35.0,35.0,392.0,50.6,50.6,9371.0,155.0,229.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.19,,,,11500.0,60.0,60.0,635.0,90.0,90.0,12845.0,225.0,143.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.23,,,,12250.0,70.0,70.0,583.0,92.5,92.5,13537.0,235.0,222.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.25,,,,12450.0,40.0,40.0,725.0,108.7,108.7,13591.0,210.0,260.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.31,,,,15760.0,90.0,90.0,896.0,110.8,110.8,18166.0,471.0,370.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.35,,,,16500.0,55.0,55.0,925.0,109.89999999999999,109.89999999999999,18875.0,249.0,209.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.39,,,,17460.0,100.0,100.0,925.0,113.60000000000001,113.60000000000001,19960.0,389.0,387.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.49,,,,18870.0,110.0,110.0,1002.0,120.89999999999999,120.89999999999999,21694.0,459.0,535.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.53,,,,19720.0,150.0,150.0,972.0,123.5,123.5,22682.0,332.0,344.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.71,,,,22470.0,190.0,180.0,1174.0,147.2,147.2,25584.0,408.0,460.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.73,,,,21805.0,80.0,80.0,1008.9999999999999,121.6,121.6,25060.0,496.0,429.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.77,,,,23770.0,190.0,180.0,947.0,120.80000000000001,120.80000000000001,27086.0,522.0,628.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,0.95,,,,28710.0,350.0,340.0,969.0,156.5,156.5,31824.0,1084.0,691.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,1.09,,,,29820.0,360.0,350.0,1027.0,129.6,129.6,33106.0,1029.0,1085.9999999999964,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,1.21,,,,32570.0,510.0,480.0,808.0,143.0,143.0,36166.0,1306.0,1020.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO136_003GC,,1.33,,,,43990.0,2170.0,1710.0,835.0,202.7,202.7,46638.0,5448.0,3661.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
