Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SO213-2-84-1,,0.3,12732.33203125,,,13569.099609375,12068.099609375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.31,13012.5478515625,,,13895.60546875,12314.60546875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.32,13292.7431640625,,,14417.533203125,12468.533203125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.33,13572.9501953125,,,14997.2509765625,12572.2509765625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.34,13855.1494140625,,,15549.740234375,12699.740234375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.35,14147.7021484375,,,15802.9970703125,12940.9970703125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.36,14440.263671875,,,16122.716796875,13122.716796875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.37,14732.8740234375,,,16529.4375,13264.4375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.38,15026.3095703125,,,16882.38671875,13464.38671875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.39,15321.5927734375,,,17090.06640625,13768.0673828125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.4,15616.84765625,,,17336.744140625,13995.744140625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.41,15912.2080078125,,,17715.96875,14180.9677734375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.42,16206.205078125,,,18001.30078125,14446.2998046875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.43,16498.8203125,,,18175.83203125,14783.8310546875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.44,16791.4296875,,,18418.59375,15060.5947265625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.45,17084.044921875,,,18713.404296875,15277.404296875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.46,17382.873046875,,,18937.330078125,15631.330078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.47,17685.212890625,,,19088.33984375,16049.33984375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.48,17987.61328125,,,19280.5859375,16362.5859375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.49,18289.984375,,,19552.83203125,16593.83203125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.5,18592.6796875,,,19691.9375,17147.9375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.51,18895.482421875,,,19797.8125,17742.8125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.52,19198.240234375,,,19926.9453125,18243.9453125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.53,19501.00390625,,,20145.078125,18575.078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.54,19790.55859375,,,20272.5234375,19232.5234375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.55,20079.62109375,,,20459.939453125,19690.939453125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.56,20368.654296875,,,20912.35546875,19893.35546875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.57,20652.640625,,,21491.28515625,20043.28515625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.58,20899.5703125,,,21679.3046875,20269.3046875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.59,21146.59765625,,,21955.326171875,20404.326171875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.6,21393.537109375,,,22316.34765625,20514.34765625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.61,21635.7578125,,,22657.439453125,20676.439453125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.62,21865.6640625,,,22778.572265625,20961.572265625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.63,22095.568359375,,,22922.703125,21166.703125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.64,22325.52734375,,,23141.8359375,21341.8359375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.65,22542.876953125,,,23333.890625,21594.890625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.66,22744.470703125,,,23413.84375,21949.84375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.67,22945.9921875,,,23527.796875,22252.796875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.68,23147.59765625,,,23710.75,22460.75,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.69,23284.873046875,,,23860.55078125,22580.55078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.7,23379.322265625,,,23983.5859375,22661.5859375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.71,23473.779296875,,,24128.62109375,22732.62109375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.72,23568.171875,,,24298.65625,22786.65625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.73,23659.796875,,,24407.12109375,22863.12109375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.74,23750.48046875,,,24526.880859375,22945.880859375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.75,23841.25390625,,,24651.640625,23018.640625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.76,23931.943359375,,,24804.3984375,23082.3984375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.77,24022.646484375,,,24892.919921875,23176.919921875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.78,24113.3125,,,24991.2890625,23257.2890625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.79,24203.923828125,,,25106.66015625,23326.66015625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.8,24294.59375,,,25229.26171875,23390.26171875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.81,24385.3828125,,,25322.5390625,23490.5390625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.82,24476.123046875,,,25411.81640625,23567.81640625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.83,24566.90234375,,,25510.09375,23643.09375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.84,24657.37890625,,,25620.3515625,23715.3515625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.85,24746.66015625,,,25693.546875,23818.546875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.86,24835.97265625,,,25785.744140625,23892.744140625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.87,24925.271484375,,,25895.94140625,23969.94140625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.88,25015.7421875,,,26010.728515625,24053.728515625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.89,25107.666015625,,,26097.904296875,24146.904296875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.9,25199.61328125,,,26192.080078125,24230.080078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.91,25291.642578125,,,26297.25390625,24301.25390625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.92,25382.62890625,,,26401.125,24383.125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.93,25472.607421875,,,26491.681640625,24482.681640625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.94,25562.65234375,,,26593.240234375,24567.240234375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.95,25652.6640625,,,26711.796875,24640.796875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.96,25742.294921875,,,26805.04296875,24731.04296875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.97,25831.720703125,,,26882,24820,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.98,25921.21875,,,26973.95703125,24900.95703125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,0.99,26010.681640625,,,27073.9140625,24972.9140625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1,26101.177734375,,,27147.287109375,25073.287109375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.01,26191.671875,,,27241.896484375,25163.896484375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.02,26282.3515625,,,27343.5078125,25250.5078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.03,26372.927734375,,,27453.443359375,25336.443359375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.04,26466.080078125,,,27526.1953125,25437.1953125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.05,26559.177734375,,,27610.94921875,25544.94921875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.06,26652.373046875,,,27705.701171875,25623.701171875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.07,26745.076171875,,,27808.435546875,25718.435546875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.08,26836.32421875,,,27881.09375,25842.09375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.09,26927.478515625,,,27971.75,25946.75,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.1,27018.69140625,,,28078.408203125,26027.408203125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.11,27109.978515625,,,28172.779296875,26114.779296875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.12,27201.474609375,,,28250.087890625,26238.087890625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.13,27293.013671875,,,28331.396484375,26340.396484375,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.14,27384.517578125,,,28428.705078125,26434.705078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.15,27475.8515625,,,28523.783203125,26534.783203125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.16,27567.072265625,,,28597.5703125,26661.5703125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.17,27658.16796875,,,28686.357421875,26765.357421875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.18,27749.392578125,,,28781.14453125,26852.14453125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.19,27840.5859375,,,28871.830078125,26972.830078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.2,27931.66796875,,,28968.94140625,27108.94140625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.21,28022.861328125,,,29062.05078125,27220.05078125,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.22,28114.05078125,,,29160.16015625,27312.16015625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.23,28203.63671875,,,29247.41796875,27462.41796875,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.24,28292.76953125,,,29322.275390625,27608.275390625,3,Age model from Jonkers et al. (2020),,1
SO213-2-84-1,,1.25,28382.095703125,,,29414.1328125,27723.1328125,3,Age model from Jonkers et al. (2020),,1
