Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
SO213-2-84-1,,0.04,1.21,2.42,1.21,2.42,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.06,1.18,2.65,1.18,2.65,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.08,1.12,2.5,1.12,2.5,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.1,1.09,2.92,1.09,2.92,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.12,1.15,2.47,1.15,2.47,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.14,1.2,3.17,1.2,3.17,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.16,1.14,2.84,1.14,2.84,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.2,1.09,2.79,1.09,2.79,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.24,1.17,2.42,1.17,2.42,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.28,1.0,2.72,1.0,2.72,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
SO213-2-84-1,,0.3,0.82,3.54,0.82,3.54,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Ronge, T. A., Steph, S., Tiedemann, R., Prange, M., Merkel, U., Nürnberg, D. and Kuhn, G.: Pushing the boundaries: Glacial/interglacial variability of intermediate and deep waters in the southwest Pacific over the last 350,000 years, Paleoceanography, 30(2), 23–38, doi:10.1002/2014pa002727, 2015.",,https://doi.pangaea.de/10.1594/PANGAEA.700140,1
