Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SO42-74KL,,0.02,0.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.05,278.39000000000004,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.08,556.79,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.1,742.38,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.12,927.9799999999999,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.15,1206.3999999999999,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.18,1498.6999999999998,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.2,1790.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.22,2190.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.25,2775.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.28,3329.1,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.3,3642.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.32,3970.4,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.35,4412.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.38,4832.3,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.4,5108.3,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.42,5376.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.45,5695.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.48,5995.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.5,6284.099999999999,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.52,6770.900000000001,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.55,7415.2,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.58,7928.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.6,8227.4,,,,,4,Age model from Peterson and Lisiecki (2018),,1
SO42-74KL,,0.62,8516.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
