Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SO42-74KL,,0.075,727.4183959961,,,908.7249755859,573.7249755859,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.085,812.0894165039,,,1006.0820922852,633.0820922852,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.095,896.7606811523,,,1155.7834472656,682.7834472656,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.105,981.4338378906,,,1322.68359375,711.68359375,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.115,1066.1044921875,,,1503.5837402344,736.5838012695,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.125,1150.7742919922,,,1696.4840087891,759.4840087891,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.135,1232.0330810547,,,1753.8591308594,828.8591918945,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.145,1313.2886962891,,,1831.234375,890.234375,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.155,1394.5472412109,,,1923.6096191406,928.6096191406,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.165,1475.7984619141,,,2028.9848632813,971.9848022461,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.175,1557.0583496094,,,2176.3598632813,1007.3599853516,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.185,1639.7969970703,,,2236.9582519531,1098.9582519531,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.195,1722.5307617188,,,2301.5563964844,1170.5563964844,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.205,1805.2686767578,,,2380.1545410156,1228.1545410156,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.215,1887.9985351563,,,2475.2280273438,1281.2281494141,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.225,1970.7346191406,,,2591.2507324219,1327.2507324219,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.235,2054.8525390625,,,2636.5673828125,1445.5675048828,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.245,2138.9721679688,,,2694.8388671875,1547.8388671875,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.255,2223.0883789063,,,2752.1103515625,1640.1103515625,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.265,2307.2067871094,,,2833.3818359375,1719.3817138672,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.275,2391.3266601563,,,2943.6530761719,1778.6530761719,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.285,2480.4440917969,,,2977.4291992188,1956.4290771484,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.295,2569.5593261719,,,3013.5939941406,2103.5939941406,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.305,2658.6772460938,,,3071.75,2222.75,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.315,2747.7976074219,,,3134.5349121094,2324.5349121094,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.325,2836.9184570313,,,3214.3200683594,2408.3200683594,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.335,2948.6076660156,,,3265.9162597656,2610.9162597656,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.345,3060.306640625,,,3342.205078125,2796.205078125,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.355,3171.9982910156,,,3437.8439941406,2894.8439941406,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.365,3283.6979980469,,,3619.4831542969,2966.4831542969,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.375,3395.3942871094,,,3830.1220703125,3015.1220703125,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.385,3527.7275390625,,,3955.9992675781,3130.9992675781,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.395,3660.060546875,,,4129.8759765625,3212.8762207031,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.405,3792.3940429688,,,4356.7534179688,3264.7534179688,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.415,3924.7280273438,,,4606.6303710938,3313.6303710938,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.425,4057.0595703125,,,4866.5078125,3355.5075683594,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.435,4185.8764648438,,,4940.0458984375,3506.0456542969,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.445,4314.689453125,,,5033.5834960938,3617.5834960938,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.455,4443.5112304688,,,5146.5229492188,3714.5229492188,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.465,4572.3286132813,,,5287.830078125,3784.830078125,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.475,4701.1411132813,,,5451.13671875,3861.1369628906,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.485,4831.1538085938,,,5507.6884765625,4087.6887207031,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.495,4961.142578125,,,5557.3950195313,4297.3950195313,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.505,5091.1596679688,,,5625.8310546875,4477.8310546875,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.515,5221.1635742188,,,5704.8041992188,4600.8041992188,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.525,5351.1723632813,,,5826.7680664063,4697.7680664063,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.535,5533.814453125,,,5893.7841796875,5112.7841796875,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.545,5716.478515625,,,5988.8002929688,5465.8002929688,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.555,5899.1264648438,,,6171.31640625,5661.31640625,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.565,6081.7734375,,,6510.794921875,5738.794921875,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.575,6264.4370117188,,,6932.2734375,5801.2734375,3,Age model from Jonkers et al. (2020),,1
SO42-74KL,,0.585,6426.1416015625,,,7030.1791992188,5951.1791992188,3,Age model from Jonkers et al. (2020),,1
