Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SO75_3_26KL,,0.014999999664723873,,,,,,,,,,500.0,240.0,240.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,0.8149999976158142,,,,,,,,,,8500.0,860.0,860.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.24,,,,13040.0,140.0,130.0,586.0,54.4,54.4,14620.0,526.0,529.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.3,,,,13310.0,100.0,100.0,599.0,57.3,57.3,15148.0,419.0,578.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.34,,,,14020.0,110.0,110.0,651.0,63.9,63.9,16085.0,382.0,368.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.38,,,,13960.0,160.0,160.0,628.0,66.8,66.8,16045.000000000002,526.9999999999982,489.0000000000018,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.42,,,,13870.0,90.0,90.0,624.0,67.6,67.6,15921.0,336.0000000000018,316.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.47,,,,13880.0,230.0,230.0,624.0,70.7,70.7,15938.0,713.0,694.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,1.76,,,,14710.0,130.0,130.0,731.0,71.2,71.2,16978.0,400.0,429.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.54,,,,20560.0,220.0,210.0,827.0,76.5,76.5,23702.0,552.0,581.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.63,,,,20150.0,220.0,220.0,779.0,69.7,69.7,23378.0,439.0,442.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.68,,,,20800.0,240.0,230.0,794.0,75.80000000000001,75.80000000000001,24096.0,705.0,715.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.73,,,,20700.0,380.0,360.0,775.0,82.10000000000001,82.10000000000001,24005.0,970.0,927.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.76,,,,21450.0,390.0,370.0,871.0,83.2,83.2,24776.0,903.0,887.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,2.83,,,,21060.0,230.0,230.0,770.0,79.60000000000001,79.60000000000001,24414.0,613.0,572.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,3.21,,,,22220.0,370.0,360.0,944.0,87.8,87.8,25549.0,811.0,848.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,3.85,,,,24660.0,340.0,333.0,750.0,73.3,73.3,28150.0,676.0,728.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,3.92,,,,23350.0,520.0,490.0,931.0,83.9,83.9,26719.0,968.0,857.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO75_3_26KL,,4.15,,,,25270.0,660.0,610.0,854.0,88.1,88.1,28699.0,1328.0,1211.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
