Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SO82-5-2,,0.01,,,,4290.0,60.0,60.0,693.0,53.199999999999996,53.199999999999996,3905.0,240.0,254.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,0.51,,,,10040.000000000002,70.0,70.0,660.0,61.1,61.1,10612.0,456.0,328.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,0.95,,,,15840.0,110.0,110.0,1390.0,443.5,443.5,17611.0,1088.0,1143.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.02,,,,16639.999999999996,120.0,120.0,1438.0,435.3,435.3,18491.0,1001.0,1066.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.1,,,,16960.0,70.0,70.0,1334.0,435.59999999999997,435.59999999999997,18999.0,1078.0,848.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.2,,,,18150.0,150.0,140.0,1359.0,430.09999999999997,430.09999999999997,20299.0,1344.0,1141.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.28,,,,18510.0,140.0,140.0,1370.0,428.59999999999997,428.59999999999997,20788.0,1194.0,1165.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.34,,,,19210.0,60.0,60.0,1407.0,428.5,428.5,21563.0,957.0,1041.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.34,,,,19730.0,160.0,150.0,1460.0,428.09999999999997,428.09999999999997,22100.0,984.0,1149.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
SO82-5-2,,1.38,,,,18170.0,150.0,150.0,1359.0,430.3,430.3,20328.0,1340.0,1139.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
