Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SO82-5-2,,0.015,,ETH-10025,,4290,60,60,420,100,100,4251,159,110,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,0.515,,ETH-10026,,10040,70,70,420,100,100,10917,183,174,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,0.955,,KIA2721,,16240,110,110,420,200,200,18849,241,263,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.025,,ETH-10027,,16640,120,120,420,200,200,19291,249,302,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.105,,KIA4234,,17360,70,70,420,200,200,20155,285,245,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.205,,KIA2722,,18550,150,150,420,200,200,21642,318,348,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.285,,KIA2723,,18910,140,140,420,200,200,22079,291,239,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.345,,KIA4235,,19610,60,60,420,200,200,22827,203,292,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.345,,KIA2724,,20130,160,160,420,200,200,23436,294,339,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.385,,KIA2725,,18570,150,150,420,200,200,21668,322,349,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.455,,KIA2726,,20250,170,170,420,200,200,23580,340,307,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.525,,KIA2727,,20790,190,190,420,200,200,24202,308,364,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.565,,KIA2728,,21070,170,170,420,200,200,24559,361,354,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.605,,KIA2729,,20410,180,180,420,200,200,23762,318,309,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.645,,KIA2730,,22010,190,190,420,200,200,25632,268,252,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.685,,KIA2731,,22700,210,210,420,200,200,26304,266,354,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.715,,ETH-12042,,22570,150,150,420,200,200,26154,226,265,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.725,,KIA2732,,23150,220,220,420,200,200,26770,370,334,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.765,,KIA1474,,23510,210,210,420,200,200,27131,329,291,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.825,,KIA1475,,23960,210,210,420,200,200,27526,214,203,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.875,,KIA2274,,24810,200,200,420,200,200,28205,255,307,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.915,,KIA1798,,24790,250,250,420,200,200,28198,272,333,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.955,,KIA1800,,24920,260,260,420,200,200,28306,294,346,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.005,,KIA1801,,25640,270,270,420,200,200,29055,345,368,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.065,,KIA1802,,25700,280,280,420,200,200,29119,341,396,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.145,,KIA1476,,25860,260,260,420,200,200,29283,327,432,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.215,,KIA1477,,26780,280,280,420,200,200,30329,421,365,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.265,,KIA1478,,26490,290,290,420,200,200,30035,435,434,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.305,,KIA1479,,27070,290,290,420,200,200,30607,363,279,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.345,,KIA1480,,27220,300,300,420,200,200,30738,322,260,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.365,,KIA1481,,27220,320,320,420,200,200,30730,330,275,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.405,,KIA1482,,28410,330,330,420,200,200,31660,360,493,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.435,,KIA1483,,28690,340,340,420,200,200,31976,434,579,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.455,,KIA1484,,28740,360,360,420,200,200,32040,450,609,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.535,,KIA1485,,28840,360,360,420,200,200,32142,458,629,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.595,,KIA1803,,29050,410,410,420,200,200,32377,533,701,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.635,,KIA1804,,29050,410,410,420,200,200,32377,533,701,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.745,,KIA1805,,29770,440,440,420,200,200,33219,601,485,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.785,,KIA1806,,29890,450,450,420,200,200,33350,560,493,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.835,,KIA1807,,30190,470,470,420,200,200,33675,495,512,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.865,,KIA1808,,30660,490,490,420,200,200,34126,454,431,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.895,,KIA1809,,31120,520,520,420,200,200,34511,429,537,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,2.975,,KIA1810,,30760,510,510,420,200,200,34214,446,462,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.045,,KIA1811,,31260,540,540,420,200,200,34637,453,588,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.075,,KIA1812,,31570,550,550,420,200,200,34927,523,612,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.115,,KIA1813,,31870,590,590,420,200,200,35223,587,637,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.155,,KIA1814,,31710,570,570,420,200,200,35066,564,616,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.205,,KIA1815,,33300,900,900,420,200,200,36955,1135,1130,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.245,,KIA2275,,33500,530,530,420,200,200,37089,721,812,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.285,,KIA1816,,34220,1000,1000,420,200,200,37954,1056,1419,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.325,,KIA2276,,34710,610,610,420,200,200,38550,860,802,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.395,,KIA2277,,34470,600,600,420,200,200,38214,816,900,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.475,,KIA2278,,36260,760,760,420,200,200,40256,844,799,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.505,,KIA2279,,36490,810,810,420,200,200,40475,855,800,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.545,,KIA2280,,37680,900,900,420,200,200,41521,769,757,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.585,,KIA2281,,37400,870,870,420,200,200,41282,778,765,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.615,,KIA2282,,37300,860,860,420,200,200,41195,785,763,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.645,,KIA2283,,37990,930,930,420,200,200,41781,769,741,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.705,,KIA2284,,40080,1230,1230,420,200,200,43502,908,1117,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.755,,KIA2285,,40970,1370,1370,420,200,200,44234,1016,1351,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.795,,KIA2286,,42170,1680,1680,420,200,200,45371,1339,1903,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,3.915,,KIA3825,,43800,1420,1420,420,200,200,46762,1308,1517,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.005,,KIA3826,,43850,1460,1460,420,200,200,46813,1337,1536,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.065,,KIA5448,,44640,520,520,420,200,200,47291,619,712,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.125,,KIA3827,,42180,1150,1150,420,200,200,45149,991,1213,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.125,,KIA5449,,45030,580,580,420,200,200,47731,689,812,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.245,,KIA3828,,46690,2170,2170,420,200,200,48463,1537,664,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.385,,KIA3829,,50190,3330,3330,420,200,200,49118,882,482,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.435,,KIA5450,,48760,1020,1020,420,200,200,49711,289,175,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.605,,KIA3830,,40060,870,870,420,200,200,43348,662,779,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.605,,KIA5451,,47640,710,710,420,200,200,49640,360,200,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.755,,KIA4236,,49500,920,920,420,200,200,49827,173,109,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.895,,KIA4237,,48920,960,960,420,200,200,49755,245,149,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,4.965,,KIA4238,,48590,790,790,420,200,200,49778,222,136,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,5.375,,KIA5452,,56610,2540,2540,420,200,200,49914,86,59,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SO82-5-2,,1.475,alignment of %Nps to NGRIP,,,,,,,,,23322,300,300,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,1.879,alignment of %Nps to NGRIP,,,,,,,,,27493,420,420,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,1.976,alignment of %Nps to NGRIP,,,,,,,,,27810,420,420,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,2.12,alignment of %Nps to NGRIP,,,,,,,,,28810,450,450,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,2.25,alignment of %Nps to NGRIP,,,,,,,,,30688,570,570,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,2.562,alignment of %Nps to NGRIP,,,,,,,,,32035,570,570,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,2.836,alignment of %Nps to NGRIP,,,,,,,,,33728,610,610,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,3.099,alignment of %Nps to NGRIP,,,,,,,,,35448,660,660,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,3.377,alignment of %Nps to NGRIP,,,,,,,,,37051,730,730,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,3.425,alignment of %Nps to NGRIP,,,,,,,,,38180,730,730,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,3.586,alignment of %Nps to NGRIP,,,,,,,,,40920,820,820,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,3.657,alignment of %Nps to NGRIP,,,,,,,,,41436,820,820,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,3.754,alignment of %Nps to NGRIP,,,,,,,,,42271,870,870,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,3.8,alignment of %Nps to NGRIP,,,,,,,,,43248,870,870,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,3.911,alignment of %Nps to NGRIP,,,,,,,,,44299,960,960,,,,From Waelbroeck et al. 2019 compilation,error interpolated from Wolff-QSR10	,,
SO82-5-2,,3.999,alignment of %Nps to NGRIP,,,,,,,,,46857,960,960,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,4.24,alignment of %Nps to NGRIP,,,,,,,,,49022,1020,1020,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,4.81,alignment of %Nps to NGRIP,,,,,,,,,54152,1150,1150,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
SO82-5-2,,4.96,NAAZ II (Brendryen et al. 2011),,,,,,,,,55330,1184,1184,,,,From Waelbroeck et al. 2019 compilation ,Blockley-QSR14,,
SO82-5-2,,5.067,alignment of %Nps to NGRIP,,,,,,,,,55733,1200,1200,,,,From Waelbroeck et al. 2019 compilation,Wolff et al. 2010 (Table2),,
