Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SO82-5-2,,0.95,18319.689453125,,,18831.400390625,17791.400390625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,0.96,18411.248046875,,,18901.794921875,17899.794921875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,0.97,18502.82421875,,,19001.189453125,17979.189453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,0.98,18594.357421875,,,19122.5859375,18048.5859375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,0.99,18685.90625,,,19264.98046875,18102.98046875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1,18777.4140625,,,19425.375,18151.375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.01,18875.1875,,,19486.193359375,18292.193359375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.02,18973.115234375,,,19554.6015625,18418.6015625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.03,19071.044921875,,,19638.01171875,18505.01171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.04,19168.94140625,,,19735.419921875,18576.419921875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.05,19266.8515625,,,19871.828125,18644.828125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.06,19357.669921875,,,19922.169921875,18800.169921875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.07,19448.13671875,,,19965.125,18942.125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.08,19538.548828125,,,20040.08203125,19069.08203125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.09,19629.046875,,,20120.037109375,19161.037109375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.1,19719.4609375,,,20218.994140625,19226.994140625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.11,19835.826171875,,,20300.47265625,19374.47265625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.12,19954.0546875,,,20411.576171875,19485.576171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.13,20072.341796875,,,20555.6796875,19554.6796875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.14,20190.6328125,,,20731.783203125,19623.783203125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.15,20308.80078125,,,20937.88671875,19681.88671875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.16,20428.373046875,,,21007.052734375,19858.052734375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.17,20548.11328125,,,21074.427734375,20038.427734375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.18,20667.78125,,,21150.802734375,20177.802734375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.19,20787.517578125,,,21255.17578125,20289.17578125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.2,20907.2421875,,,21396.55078125,20379.55078125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.21,20996.12109375,,,21457.796875,20498.796875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.22,21081.03515625,,,21517.103515625,20618.103515625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.23,21165.978515625,,,21588.41015625,20703.41015625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.24,21250.91015625,,,21685.71875,20777.71875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.25,21335.841796875,,,21814.025390625,20821.025390625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.26,21427.5,,,21868.736328125,20968.736328125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.27,21520.216796875,,,21932.9296875,21098.9296875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.28,21613.0078125,,,22003.125,21210.125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.29,21705.65234375,,,22099.3203125,21296.3203125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.3,21798.39453125,,,22221.513671875,21365.513671875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.31,21878.6328125,,,22283.857421875,21476.857421875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.32,21956.486328125,,,22327.47265625,21591.47265625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.33,22034.359375,,,22400.087890625,21683.087890625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.34,22112.15234375,,,22494.703125,21747.703125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.35,22190.01171875,,,22624.318359375,21804.318359375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.36,22250.63671875,,,22688.001953125,21871.001953125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.37,22307.478515625,,,22756.146484375,21924.146484375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.38,22364.23046875,,,22820.2890625,21981.2890625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.39,22421.03125,,,22898.431640625,22006.431640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.4,22477.82421875,,,22982.576171875,22038.576171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.41,22564.1171875,,,23040.904296875,22163.904296875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.42,22657.92578125,,,23089.05078125,22279.05078125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.43,22751.794921875,,,23154.197265625,22379.197265625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.44,22845.6015625,,,23251.345703125,22458.345703125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.45,22939.525390625,,,23379.4921875,22513.4921875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.46,23023.919921875,,,23446.8046875,22617.8046875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.47,23105.650390625,,,23505.576171875,22716.576171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.48,23187.3515625,,,23574.34765625,22791.34765625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.49,23269.078125,,,23664.12109375,22859.12109375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.5,23350.787109375,,,23774.892578125,22908.892578125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.51,23428.84375,,,23832.431640625,23009.431640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.52,23505.607421875,,,23893.560546875,23111.560546875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.53,23582.474609375,,,23951.689453125,23192.689453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.54,23659.2265625,,,24046.818359375,23266.818359375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.55,23736.0625,,,24158.947265625,23316.947265625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.56,23811.158203125,,,24243.70703125,23394.70703125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.57,23885.5546875,,,24327.201171875,23473.201171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.58,23960.00390625,,,24430.6953125,23531.6953125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.59,24034.4609375,,,24556.189453125,23579.189453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.6,24108.861328125,,,24687.68359375,23622.68359375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.61,24278.28515625,,,24814.2890625,23836.2890625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.62,24487.59375,,,24949.298828125,24087.298828125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.63,24696.96875,,,25109.30859375,24268.30859375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.64,24906.224609375,,,25342.31640625,24418.31640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.65,25115.419921875,,,25623.326171875,24530.326171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.66,25280.7109375,,,25765.5078125,24733.5078125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.67,25425.271484375,,,25838.169921875,24973.169921875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.68,25569.859375,,,25933.833984375,25178.833984375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.69,25714.3828125,,,26067.49609375,25319.49609375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.7,25859.048828125,,,26263.158203125,25436.158203125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.71,25975.837890625,,,26378.873046875,25573.873046875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.72,26078.287109375,,,26443.681640625,25723.681640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.73,26180.80859375,,,26532.490234375,25837.490234375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.74,26283.212890625,,,26654.30078125,25925.30078125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.75,26385.724609375,,,26812.109375,25987.109375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.76,26479.859375,,,26906.904296875,26093.904296875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.77,26569.294921875,,,26957.83203125,26201.83203125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.78,26658.66015625,,,27026.76171875,26289.76171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.79,26748.15234375,,,27114.689453125,26341.689453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.8,26837.46875,,,27229.619140625,26395.619140625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.81,26929.556640625,,,27313.72265625,26509.72265625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.82,27023.24609375,,,27354.935546875,26660.935546875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.83,27116.958984375,,,27428.1484375,26778.1484375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.84,27210.666015625,,,27494.361328125,26861.361328125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.85,27304.46875,,,27602.57421875,26927.57421875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.86,27377.79296875,,,27685.201171875,27020.201171875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.87,27437.103515625,,,27719.189453125,27109.189453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.88,27496.36328125,,,27760.17578125,27193.17578125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.89,27555.66796875,,,27829.1640625,27264.1640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.9,27614.857421875,,,27902.15234375,27324.15234375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.91,27670.779296875,,,27955.490234375,27381.490234375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.92,27724.24609375,,,28003.853515625,27462.853515625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.93,27777.658203125,,,28060.21484375,27512.21484375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.94,27831.15234375,,,28128.578125,27559.578125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.95,27884.6171875,,,28211.94140625,27603.94140625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.96,27942.736328125,,,28269.13671875,27665.13671875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.97,28004.6953125,,,28323.689453125,27728.689453125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.98,28066.5859375,,,28375.244140625,27794.244140625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,1.99,28128.564453125,,,28455.798828125,27830.798828125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2,28190.484375,,,28546.470703125,27864.470703125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.01,28246.515625,,,28612.412109375,27915.412109375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.02,28297.109375,,,28640.62890625,27966.62890625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.03,28347.701171875,,,28697.84375,28015.84375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.04,28398.193359375,,,28751.333984375,28052.333984375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.05,28448.771484375,,,28825.49609375,28081.49609375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.06,28500.91796875,,,28885.4140625,28131.4140625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.07,28554.564453125,,,28932.748046875,28189.748046875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.08,28608.2578125,,,28981.181640625,28236.181640625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.09,28661.974609375,,,29060.615234375,28280.615234375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.1,28715.6875,,,29141.048828125,28321.048828125,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.11,28771.517578125,,,29210.537109375,28374.537109375,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.12,28829.6484375,,,29250.66015625,28445.66015625,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.13,28887.9140625,,,29304.591796875,28502.591796875,3,Age model from Jonkers et al. (2020),,1
SO82-5-2,,2.14,28946.087890625,,,29366.525390625,28553.525390625,3,Age model from Jonkers et al. (2020),,1
