Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SU81-18,,0.13,905.0546875,,,1198.5980224609,617.5980224609,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.14,936.5753173828,,,1222.1687011719,653.1687011719,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.15,968.0935058594,,,1253.7393798828,689.7393798828,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.16,999.6153564453,,,1283.3100585938,719.3101196289,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.17,1031.1351318359,,,1322.880859375,746.8807983398,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.18,1062.6541748047,,,1365.4515380859,761.4515380859,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.19,1094.3260498047,,,1388.3793945313,800.3793945313,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.2,1126.0026855469,,,1408.8188476563,839.8189086914,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.21,1157.6794433594,,,1440.2778320313,870.2778930664,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.22,1189.3553466797,,,1481.7368164063,899.7368774414,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.23,1221.0314941406,,,1527.1959228516,925.1959228516,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.24,1252.6385498047,,,1553.7297363281,979.7297363281,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.25,1284.2407226563,,,1582.951171875,1020.9511108399,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.26,1315.8433837891,,,1616.4260253906,1055.4260253906,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.27,1347.4481201172,,,1648.6395263672,1085.6395263672,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.28,1379.0516357422,,,1689.8531494141,1112.8531494141,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.29,1431.7939453125,,,1733.8071289063,1201.8071289063,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.3,1486.6031494141,,,1794.7585449219,1274.7585449219,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.31,1541.4135742188,,,1858.6602783203,1312.6602783203,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.32,1596.2250976563,,,1936.9477539063,1334.9477539063,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.33,1651.0334472656,,,2038.2351074219,1354.2351074219,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.34,1732.0747070313,,,2121.9995117188,1422.9993896484,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.35,1816.6420898438,,,2205.6098632813,1478.6099853516,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.36,1901.2159423828,,,2324.5568847656,1531.5568847656,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.37,1985.7922363281,,,2472.5036621094,1559.5036621094,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.38,2070.3662109375,,,2632.4506835938,1586.4505615234,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.39,2169.4191894531,,,2704.0717773438,1703.0717773438,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.4,2271.0041503906,,,2769.322265625,1803.3223876953,3,Age model from Jonkers et al. (2020),,1
SU81-18,,0.41,2372.5854492188,,,2846.5729980469,1871.5729980469,3,Age model from Jonkers et al. (2020),,1
