Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SU90-03,,0.33,,,Globigerinoides ruber,8080,70,70,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.41,,,Globigerina bulloides,11210,80,80,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.5,,,Globigerina bulloides,10610,70,70,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.55,,,Globigerinoides ruber,9850,60,60,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.61,,,Globigerina bulloides,11950,80,80,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.64,,,Globorotalia inflata,16780,100,100,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.66,,,Globigerina bulloides,12220,90,90,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.69,,,Neogloboquadrina pachyderma (s),14580,80,80,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.72,,,Globorotalia inflata,12850,70,70,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.77,,,Globorotalia inflata,14360,90,90,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.77,,,Neogloboquadrina pachyderma (s),14560,90,90,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.8,,,Neogloboquadrina pachyderma (s),14450,90,90,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.83,,,Neogloboquadrina pachyderma (s),14740,80,80,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.92,,,Globigerina bulloides,16950,100,100,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,0.98,,,Globorotalia inflata,17110,100,100,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.21,,,Globorotalia inflata,19140,120,120,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.32,,,Globigerina bulloides,22360,140,140,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.38,,,Globigerina bulloides,24640,220,220,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.41,,,Globigerina bulloides,23970,170,170,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.58,,,Neogloboquadrina pachyderma (s),27140,220,220,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.65,,,Globigerina bulloides,27980,290,290,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.65,,,Globigerina bulloides,27640,220,220,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.76,,,Neogloboquadrina pachyderma (s),31920,330,330,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.82,,,Globigerina bulloides,31140,390,390,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.86,,,Globorotalia inflata,31360,320,320,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.96,,,Neogloboquadrina pachyderma (s),35270,500,500,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,1.97,,,Neogloboquadrina pachyderma (s),35040,450,450,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,2.03,,,Globorotalia inflata,36290,510,510,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,2.09,,,Globorotalia inflata,37410,560,560,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
SU90-03,,2.42,,,Neogloboquadrina pachyderma (s),47550,2750,2750,,,,,,,,,,,,,https://doi.pangaea.de/10.1594/PANGAEA.57052?format=html#download
