Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SU90-03,,0.0,498.357177734375,,,683.5540161132812,310.55401611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.01,665.7503051757812,,,947.9151611328125,411.9151916503906,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.02,833.1436157226562,,,1305.2923583984375,459.2923889160156,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.03,1000.5355834960938,,,1691.1741943359375,501.1741943359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.04,1167.92919921875,,,2091.296630859375,535.296630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.05,1335.3201904296875,,,2476.4189453125,563.4190063476562,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.06,1613.7027587890625,,,2667.322509765625,695.3225708007812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.07,1896.9100341796875,,,3150.72900390625,745.72900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.08,2180.115478515625,,,3715.552734375,773.5526733398438,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.09,2463.32470703125,,,4245.7548828125,803.7547607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.1,2746.530517578125,,,4692.552734375,829.5528564453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.11,2976.78857421875,,,4896.8857421875,1001.885986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.12,3202.235107421875,,,5037.9951171875,1199.9949951171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.13,3427.67529296875,,,5152.1171875,1398.1170654296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.14,3653.126220703125,,,5348.04443359375,1586.0443115234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.15,3878.568115234375,,,5599.9716796875,1774.9716796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.16,4184.08837890625,,,5832.69482421875,2270.69482421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.17,4501.04833984375,,,6067.24609375,2799.245849609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.18,4818.00341796875,,,6332.17919921875,3290.17919921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.19,5134.95751953125,,,6686.71435546875,3764.71435546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.2,5451.91748046875,,,7099.8154296875,4121.8154296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.21,5678.49072265625,,,7244.3857421875,4503.3857421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.22,5886.99658203125,,,7371.47509765625,4787.47509765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.23,6095.498046875,,,7501.05322265625,4939.05322265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.24,6303.99365234375,,,7654.390625,5051.390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.25,6512.494140625,,,7874.86669921875,5158.86669921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.26,6782.90185546875,,,7976.744140625,5583.744140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
SU90-03,,0.27,7069.607421875,,,8040.2119140625,6092.2119140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
