Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SU90-24,,0,,,N. pachyderma,10190,100,100,587.8,112.3,112.3,10924,344,413,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.05,,,N. pachyderma,11440,100,100,1070.3,217.2,217.2,12123,585,757,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.22,,,N. pachyderma,11820,200,200,1208.4,223.8,223.8,12393,699,982,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.46,,,N. pachyderma,12840,200,200,1042.7,215.3,215.3,13715,927,642,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.62,,,N. pachyderma,13460,200,200,1016.4,211.7,211.7,14621,940,862,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.76,,,N. pachyderma,14760,200,200,1128.7,209,209,16496,862,793,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.8,,,N. pachyderma,15400,200,200,1226.7,209.2,209.2,17211,738,799,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,0.96,,,N. pachyderma,16100,200,200,1251.5,207.9,207.9,18076,645,641,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.1,,,N. pachyderma,16880,200,200,1220.3,205.9,205.9,18970,653,630,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.2,,,N. pachyderma,18340,200,200,1208.8,204,204,20699,767,696,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.3,,,N. pachyderma,20500,200,200,1230,206.5,206.5,23218,672,667,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.4,,,N. pachyderma,19420,200,200,1247.1,201.7,201.7,21991,619,712,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.49,,,N. pachyderma,20400,200,200,1222,205.1,205.1,23114,665,635,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.56,,,N. pachyderma,20580,200,200,1271.3,206.8,206.8,23263,674,677,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.6,,,N. pachyderma,21430,300,300,1289.6,198.9,198.9,24297,938,845,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,1.74,,,N. pachyderma,22950,300,300,1409.8,195.9,195.9,25837,794,734,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.06,,,N. pachyderma,25600,400,400,1328.1,217.5,217.5,28365,927,748,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.1,,,N. pachyderma,25690,400,400,1334,219.7,219.7,28438,941,769,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.14,,,N. pachyderma,25900,400,400,1325.9,221,221,28642,969,875,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.22,,,N. pachyderma,26500,400,400,1317.1,205,205,29355,1128,936,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.4,,,N. pachyderma,26920,400,400,1281.5,217.3,217.3,29847,944,968,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,2.8,,,N. pachyderma,30120,600,600,1291.4,206.5,206.5,32807,1248,1342,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,3.34,,,N. pachyderma,31620,600,600,1300.8,207.1,207.1,34426,1254,1055,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,3.92,,,N. pachyderma,32950,700,700,1206.5,219.6,219.6,35810,1939,1427,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,3.96,,,N. pachyderma,33600,800,800,1155.3,219.6,219.6,36682,1908,1767,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.2,,,N. pachyderma,34540,900,900,1184.2,212.7,212.7,37668,2184,1970,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.6,,,N. pachyderma,38820,1300,1300,1566.8,220.6,220.6,41690,2333,2153,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.7,,,N. pachyderma,40720,1700,1700,1410.6,224.6,224.6,43622,3322,2494,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.82,,,N. pachyderma,36100,1200,1200,1307.4,217.7,217.7,39384,2410,2611,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.88,,,N. pachyderma,40900,2200,2200,1381.5,228.4,228.4,44081,4442,3153,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,4.95,,,N. pachyderma,44700,4600,4600,1216.4,226,226,46864,3135,3553,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,5,,,N. pachyderma,35300,1800,1800,1297.7,230.8,230.8,38580,3619,3378,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,5.09,,,N. pachyderma,39300,1800,1800,1545.6,226.7,226.7,42281,3447,2991,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,5.22,,,N. pachyderma,46400,2600,2600,1258.4,236.4,236.4,48015,1984,2476,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
SU90-24,,7.5,,,tephra,,,,,,,55380,1184,1184,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,"https://doi.org/10.1594/PANGAEA.881881, https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792"
