Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
SU90-24,,0.005,,,,10190,60,60,430,100,100,11082,158,15,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.055,,,,11440,60,60,430,200,200,12822,198,151,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.225,,,,11820,70,70,430,200,200,13134,196,225,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.465,,,,12840,110,110,430,200,200,14373,377,417,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.625,,,,13380,80,80,430,200,200,15252,408,326,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.765,,,,14680,80,80,430,200,200,17041,319,295,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.965,,,,16000,100,100,430,200,200,18573,237,232,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.105,,,,16880,90,90,430,200,200,19564,286,288,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.205,,,,18340,110,110,430,200,200,21361,299,325,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.305,,,,20480,120,120,430,200,200,23828,262,274,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.405,,,,19420,110,110,430,200,200,22635,235,243,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.495,,,,20400,120,120,430,200,200,23740,270,267,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.565,,,,20580,120,120,430,200,200,23939,261,277,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.605,,,,21430,130,130,430,200,200,24967,293,366,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,1.745,,,,23100,150,150,430,200,200,26713,337,313,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,2.065,,,,25600,180,180,430,200,200,28990,290,291,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,2.105,,,,25690,180,180,430,200,200,29079,281,303,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,2.145,,,,25900,190,190,430,200,200,29296,284,365,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,2.405,,,,26700,220,220,430,200,200,30252,398,354,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,2.805,,,,30120,320,320,430,200,200,33623,377,346,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,3.345,,,,31620,290,290,430,200,200,34906,344,353,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,3.925,,,,32950,350,350,430,200,200,36261,429,556,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,3.965,,,,33600,420,420,430,200,200,37168,602,747,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.205,,,,34540,440,440,430,200,200,38330,640,649,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.605,,,,38820,640,640,430,200,200,42374,426,465,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.705,,,,40720,830,830,430,200,200,43829,641,793,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.825,,,,36060,620,620,430,200,200,40036,724,721,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.885,,,,40900,1100,1100,430,200,200,44054,826,1050,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,4.985,,,,44700,2300,2300,430,200,200,47365,1905,1464,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,5.005,,,,35330,890,890,430,200,200,39290,1090,959,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,5.095,,,,39320,890,890,430,200,200,42783,607,757,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,5.205,,,,44600,1300,1300,430,200,200,47427,1203,1370,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
SU90-24,,0.036,alignment of susc to NGRIP d18O or temp,,,,,,,,,12811,250,250,,,,From Waelbroeck et al. 2019 compilation,Rassmussen et al., 2014 (Table2),
