Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SU90-24,,0.005,11119.0,11283.0,10900.0,11440.0,10767.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.01,11309.0,11539.0,11070.0,11784.0,10865.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.02,11865.0,12139.0,11557.0,12414.0,11026.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.03,12428.0,12658.0,12169.0,12855.0,11092.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.04,12805.0,13046.0,12524.0,13243.0,11160.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.05,12842.0,13078.0,12565.0,13276.0,11215.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.06,12877.0,13112.0,12604.0,13309.0,11275.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.07,12911.0,13146.0,12641.0,13345.0,11337.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.08,12945.0,13181.0,12679.0,13384.0,11401.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.09,12978.0,13216.0,12713.0,13431.0,11458.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.1,13012.0,13250.0,12747.0,13494.0,11513.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.11,13045.0,13285.0,12780.0,13565.0,11565.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.12,13079.0,13319.0,12813.0,13642.0,11621.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.13,13111.0,13355.0,12845.0,13720.0,11669.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.14,13143.0,13392.0,12876.0,13799.0,11722.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.15,13174.0,13427.0,12908.0,13881.0,11774.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.16,13206.0,13465.0,12936.0,13959.0,11829.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.17,13237.0,13500.0,12966.0,14040.0,11885.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.18,13268.0,13535.0,12996.0,14117.0,11936.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.19,13299.0,13570.0,13024.0,14204.0,11994.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.2,13330.0,13610.0,13053.0,14289.0,12049.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.21,13362.0,13647.0,13080.0,14376.0,12104.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.22,13394.0,13682.0,13107.0,14457.0,12149.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.23,13425.0,13717.0,13136.0,14539.0,12206.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.24,13456.0,13753.0,13163.0,14620.0,12253.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.25,13486.0,13789.0,13190.0,14706.0,12303.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.26,13515.0,13823.0,13217.0,14790.0,12356.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.27,13545.0,13855.0,13245.0,14880.0,12413.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.28,13574.0,13888.0,13272.0,14969.0,12468.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.29,13604.0,13918.0,13301.0,15055.0,12521.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.3,13633.0,13946.0,13327.0,15146.0,12571.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.31,13662.0,13974.0,13355.0,15230.0,12622.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.32,13691.0,13999.0,13380.0,15313.0,12675.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.33,13720.0,14024.0,13408.0,15399.0,12736.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.34,13748.0,14046.0,13435.0,15484.0,12787.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.35,13778.0,14069.0,13462.0,15574.0,12843.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.36,13807.0,14091.0,13492.0,15662.0,12892.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.37,13835.0,14113.0,13524.0,15751.0,12953.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.38,13865.0,14135.0,13556.0,15839.0,13013.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.39,13895.0,14156.0,13589.0,15923.0,13070.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.4,13926.0,14179.0,13623.0,16006.0,13123.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.41,13956.0,14202.0,13659.0,16087.0,13174.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.42,13986.0,14224.0,13697.0,16175.0,13227.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.43,14017.0,14247.0,13737.0,16258.0,13279.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
SU90-24,,0.44,14048.0,14270.0,13777.0,16338.999999999998,13335.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
