Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
SU90-39,,,,0.0,0.0,,,,,,0.0,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.05,0.05,,,,,,0.05,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.1,0.1,,,,,,0.1,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.15,0.15,,,,,,0.15,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.2,0.2,,,,,,0.2,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.25,0.25,,,,,,0.25,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.3,0.3,,,,,,0.3,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.32,0.32,,,,,,0.32,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.46,0.46,,,,,,0.46,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.52,0.52,,,,,,0.52,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.6,0.6,,,,,,0.6,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.64,0.64,,,,,,0.64,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.71,0.71,,,,,,0.71,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.73,0.73,,,,,,0.73,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.79,0.79,,,,,,0.79,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.8,0.8,,,,,,0.8,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.81,0.81,,,,,,0.81,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.86,0.86,,,,,,0.86,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.94,0.94,,,,,,0.94,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,0.96,0.96,,,,,,0.96,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.15,1.15,,,,,,1.15,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.19,1.19,,,,,,1.19,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.28,1.28,,,,,,1.28,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.35,1.35,,,,,,1.35,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.42,1.42,,,,,,1.42,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.59,1.59,,,,,,1.59,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.68,1.68,,,,,,1.68,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.79,1.79,,,,,,1.79,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.88,1.88,,,,,,1.88,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,1.99,1.99,,,,,,1.99,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,2.055,2.055,,,,,,2.055,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,2.085,2.085,,,,,,2.085,depth model from Peterson and Lisiecki 2018,
