Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
TR163-25T,,0.005,508.2261962890625,,,718.1629638671875,296.1629943847656,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.015,645.43701171875,,,875.0880126953125,432.0880126953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.025,782.648193359375,,,1056.396728515625,522.3967895507812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.035,919.859130859375,,,1229.9547119140625,613.9547119140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.045,1057.069580078125,,,1455.5125732421875,689.5125732421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.055,1194.2801513671875,,,1650.070556640625,760.0704956054688,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.065,1331.490234375,,,1853.62841796875,826.62841796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.075,1468.7017822265625,,,2088.186279296875,899.186279296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.085,1605.91259765625,,,2306.744140625,954.7442016601562,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.095,1743.123291015625,,,2516.30224609375,1011.3021240234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.105,1880.3338623046875,,,2740.85986328125,1083.8599853515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.115,2017.544189453125,,,2949.41796875,1154.41796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.125,2154.75732421875,,,3166.975830078125,1194.975830078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.135,2291.968994140625,,,3403.53369140625,1251.53369140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.145,2429.178955078125,,,3640.091552734375,1327.091552734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.155,2566.391357421875,,,3847.6494140625,1390.6494140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.165,2703.601318359375,,,4071.20751953125,1447.2073974609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.17500000000000002,2840.812255859375,,,4277.765625,1488.765380859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.185,2978.0224609375,,,4500.3232421875,1538.3232421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.195,3115.232421875,,,4734.880859375,1608.881103515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
TR163-25T,,0.20500000000000002,3294.5556640625,,,4909.55908203125,1799.5589599609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
