Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
TR163-25T,,0.005,0.136,2.798,0.136,2.798,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.05,0.0815,,0.0815,,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.05,0.24,2.691,0.24,2.691,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.05,-0.077,,-0.077,,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.15,0.079,2.579,0.079,2.579,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.2,-0.034,2.724,-0.034,2.724,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.25,0.046,2.754,0.046,2.754,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.3,-0.04,2.912,-0.04,2.912,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.35,0.02,3.275,0.02,3.275,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.4,0.022,3.253,0.022,3.253,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.45,0.032,2.89,0.032,2.89,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
TR163-25T,,0.45,-0.093,2.89,-0.093,2.89,1-8,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Hoogakker, B. A. A., Lu, Z., Umling, N., Jones, L., Zhou, X., Rickaby, R. E. M., Thunell, R., Cartapanis, O., and Galbraith, E.: Glacial expansion of oxygen-depleted seawater in the eastern tropical Pacific, Nature, 562, 410-413, doi:10.1038/s41586-018-0589-x, 2018.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.891182",1
