Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
V19-27,,0.02,301.369863,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.05,753.4246575,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.06,904.109589,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.07,1054.7945205,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.08,1205.4794521,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.09,1356.1643836,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.09,1356.1643836,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.1,1506.8493151,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.12,1808.2191781,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.12,1808.2191781,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.14,2109.5890411,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.14,2109.5890411,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.16,2410.9589041,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.16,2410.9589041,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.18,2712.3287671,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.18,2712.3287671,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.2,3013.6986301,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.2,3013.6986301,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.2,3013.6986301,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.205,3089.0410959,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.21,3164.3835616,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.21,3164.3835616,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.22,3315.0684932,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.24,3616.4383562,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.25,3767.1232877,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.32,4821.9178082,,,,,4,Age model calculated by Alan Mix,,1
V19-27,,0.32,4821.9178082,,,,,4,Age model calculated by Alan Mix,,1
