Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
V19-27,,0.05,0.01,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.1,0.26,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.12,0.05,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.16,0.37,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.21,0.37,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.25,0.42,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.32,0.38,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.36,0.49,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.41,0.39,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.46,0.42,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.51,0.38,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.55,0.33,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.59,0.34,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
V19-27,,0.65,0.38,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Mix et al. (1991),,https://doi.org/10.1594/PANGAEA.51844,1
