Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
V23-81,,0.0,7371.61376953125,,,7752.10986328125,6940.10986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.01,7403.2646484375,,,7790.81689453125,6974.81689453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.02,7434.9326171875,,,7825.52392578125,7011.52392578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.03,7466.59033203125,,,7873.2314453125,7040.2314453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.04,7498.25341796875,,,7917.78271484375,7069.78271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.05,7529.91552734375,,,7970.01318359375,7093.01318359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.06,7561.58203125,,,8030.244140625,7112.244140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.07,7593.24267578125,,,8092.474609375,7129.474609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.08,7624.89892578125,,,8157.70556640625,7144.70556640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.09,7656.55908203125,,,8235.935546875,7161.93603515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.1,7688.228515625,,,8318.369140625,7179.36962890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.11,7718.708984375,,,8343.20703125,7219.20703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.12,7749.0908203125,,,8368.8955078125,7263.8955078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.13,7779.47802734375,,,8391.583984375,7291.58447265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.14,7809.857421875,,,8434.2734375,7312.27294921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.15,7840.2451171875,,,8467.9619140625,7328.9619140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.16,7870.62548828125,,,8499.650390625,7346.650390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.17,7901.00537109375,,,8525.33984375,7365.33935546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.18,7931.3896484375,,,8566.02734375,7382.02783203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.19,7961.76708984375,,,8623.716796875,7384.716796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.2,7992.15283203125,,,8666.4052734375,7402.4052734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.21,8023.0712890625,,,8690.978515625,7430.97900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.22,8054.08935546875,,,8721.986328125,7466.98583984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.23,8085.10205078125,,,8741.9931640625,7502.9931640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.24,8116.119140625,,,8754.0,7535.00048828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.25,8147.13623046875,,,8806.0078125,7571.0078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.26,8178.15771484375,,,8834.0146484375,7582.0146484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.27,8209.1669921875,,,8863.021484375,7603.02197265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.28,8240.1826171875,,,8909.9609375,7620.96142578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.29,8271.201171875,,,8970.203125,7631.20361328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.3,8302.22265625,,,9017.7021484375,7649.7021484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.31,8333.0615234375,,,9042.958984375,7691.95849609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.32,8363.857421875,,,9077.142578125,7720.14208984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.33,8394.654296875,,,9089.326171875,7755.32568359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.34,8425.4501953125,,,9110.509765625,7768.50927734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.35000000000000003,8456.2421875,,,9143.6982421875,7815.6982421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.36,8487.0458984375,,,9184.0830078125,7836.0830078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.37,8517.837890625,,,9208.46875,7856.46826171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.38,8548.6328125,,,9236.853515625,7870.85302734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.39,8579.427734375,,,9284.23828125,7907.23828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.4,8610.23046875,,,9318.623046875,7927.623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.41000000000000003,8639.1806640625,,,9347.896484375,7961.89599609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.42,8667.3095703125,,,9350.78515625,7997.78564453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.43,8695.4462890625,,,9369.6748046875,8034.6748046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.44,8723.58203125,,,9389.564453125,8053.564453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.45,8751.7041015625,,,9408.4541015625,8080.4541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.46,8779.841796875,,,9424.34375,8106.34326171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.47000000000000003,8807.9619140625,,,9446.232421875,8139.23291015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.48,8836.1025390625,,,9466.1220703125,8153.1220703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.49,8864.22265625,,,9479.01171875,8163.01171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.5,8892.3662109375,,,9503.9013671875,8188.9013671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
V23-81,,0.51,8922.5234375,,,9538.46484375,8232.46484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
