Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V23-81,,,,0.0,0.0,,,,,,0.0,depth model from Jonkers et al. 2020,
V23-81,,,,0.2,0.2,,,,,,0.2,depth model from Jonkers et al. 2020,
V23-81,,,,0.4,0.4,,,,,,0.4,depth model from Jonkers et al. 2020,
V23-81,,,,0.6,0.6,,,,,,0.6,depth model from Jonkers et al. 2020,
V23-81,,,,0.7,0.7,,,,,,0.7,depth model from Jonkers et al. 2020,
V23-81,,,,0.9,0.9,,,,,,0.9,depth model from Jonkers et al. 2020,
V23-81,,,,1.1,1.1,,,,,,1.1,depth model from Jonkers et al. 2020,
V23-81,,,,1.2,1.2,,,,,,1.2,depth model from Jonkers et al. 2020,
V23-81,,,,1.31,1.31,,,,,,1.31,depth model from Jonkers et al. 2020,
V23-81,,,,1.36,1.36,,,,,,1.36,depth model from Jonkers et al. 2020,
V23-81,,,,1.42,1.42,,,,,,1.42,depth model from Jonkers et al. 2020,
V23-81,,,,1.47,1.47,,,,,,1.47,depth model from Jonkers et al. 2020,
V23-81,,,,1.48,1.48,,,,,,1.48,depth model from Jonkers et al. 2020,
V23-81,,,,1.54,1.54,,,,,,1.54,depth model from Jonkers et al. 2020,
V23-81,,,,1.58,1.58,,,,,,1.58,depth model from Jonkers et al. 2020,
V23-81,,,,1.64,1.64,,,,,,1.64,depth model from Jonkers et al. 2020,
V23-81,,,,1.75,1.75,,,,,,1.75,depth model from Jonkers et al. 2020,
V23-81,,,,1.8,1.8,,,,,,1.8,depth model from Jonkers et al. 2020,
V23-81,,,,1.89,1.89,,,,,,1.89,depth model from Jonkers et al. 2020,
V23-81,,,,1.98,1.98,,,,,,1.98,depth model from Jonkers et al. 2020,
V23-81,,,,2.01,2.01,,,,,,2.01,depth model from Jonkers et al. 2020,
V23-81,,,,2.06,2.06,,,,,,2.06,depth model from Jonkers et al. 2020,
V23-81,,,,2.15,2.15,,,,,,2.15,depth model from Jonkers et al. 2020,
V23-81,,,,2.18,2.18,,,,,,2.18,depth model from Jonkers et al. 2020,
V23-81,,,,2.37,2.37,,,,,,2.37,depth model from Jonkers et al. 2020,
V23-81,,,,2.6,2.6,,,,,,2.6,depth model from Jonkers et al. 2020,
V23-81,,,,2.8,2.8,,,,,,2.8,depth model from Jonkers et al. 2020,
V23-81,,,,2.93,2.93,,,,,,2.93,depth model from Jonkers et al. 2020,
V23-81,,,,3.0,3.0,,,,,,3.0,depth model from Jonkers et al. 2020,
V23-81,,,,3.4,3.4,,,,,,3.4,depth model from Jonkers et al. 2020,
V23-81,,,,3.65,3.65,,,,,,3.65,depth model from Jonkers et al. 2020,
V23-81,,,,3.85,3.85,,,,,,3.85,depth model from Jonkers et al. 2020,
V23-81,,,,4.0,4.0,,,,,,4.0,depth model from Jonkers et al. 2020,
V23-81,,,,4.18,4.18,,,,,,4.18,depth model from Jonkers et al. 2020,
V23-81,,,,4.45,4.45,,,,,,4.45,depth model from Jonkers et al. 2020,
V23-81,,,,4.6,4.6,,,,,,4.6,depth model from Jonkers et al. 2020,
V23-81,,,,4.99,4.99,,,,,,4.99,depth model from Jonkers et al. 2020,
