Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
V23-81,,0.0,0.88,2.92,0.88,2.92,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,0.2,0.97,2.87,0.97,2.87,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,0.4,0.98,2.99,0.98,2.99,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,0.6,0.98,3.26,0.98,3.26,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,0.7,1.12,3.42,1.12,3.42,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,0.9,1.14,3.36,1.14,3.36,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.1,0.92,3.27,0.92,3.27,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.2,0.92,3.51,0.92,3.51,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.31,1.12,3.39,1.12,3.39,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.36,0.79,3.27,0.79,3.27,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.42,0.78,3.45,0.78,3.45,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.47,0.64,3.3,0.64,3.3,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.48,0.62,3.27,0.62,3.27,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.54,0.79,3.71,0.79,3.71,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.58,0.86,3.76,0.86,3.76,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.64,0.88,3.71,0.88,3.71,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.75,0.73,3.94,0.73,3.94,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.8,0.62,3.31,0.62,3.31,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.89,0.83,3.34,0.83,3.34,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,1.98,0.72,3.79,0.72,3.79,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.01,0.65,3.72,0.65,3.72,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.06,0.32,3.77,0.32,3.77,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.15,0.1,3.86,0.1,3.86,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.18,0.28,3.89,0.28,3.89,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.37,0.61,4.75,0.61,4.75,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.6,0.6,5.03,0.6,5.03,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.8,0.42,4.89,0.42,4.89,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,2.93,0.25,4.64,0.25,4.64,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
V23-81,,3.0,0.36,4.83,0.36,4.83,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jansen, E. and Veum, T.: Evidence for two-step deglaciation and its impact on North Atlantic deep-water circulation, Nature, 343(6259), 612–616, doi:10.1038/343612a0, 1990.",,https://doi.pangaea.de/10.1594/PANGAEA.106768,1
