Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V24-109,,,,0.0,0.0,,,,,,0.0,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.02,0.02,,,,,,0.02,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.125,0.125,,,,,,0.125,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.15,0.15,,,,,,0.15,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.1501,0.1501,,,,,,0.1501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.18,0.18,,,,,,0.18,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.225,0.225,,,,,,0.225,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.25,0.25,,,,,,0.25,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.2501,0.2501,,,,,,0.2501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.275,0.275,,,,,,0.275,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.3,0.3,,,,,,0.3,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.3001,0.3001,,,,,,0.3001,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.325,0.325,,,,,,0.325,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.3251,0.3251,,,,,,0.3251,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.35,0.35,,,,,,0.35,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.3501,0.3501,,,,,,0.3501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.375,0.375,,,,,,0.375,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.4,0.4,,,,,,0.4,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.4001,0.4001,,,,,,0.4001,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.425,0.425,,,,,,0.425,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.45,0.45,,,,,,0.45,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.4501,0.4501,,,,,,0.4501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.475,0.475,,,,,,0.475,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.5,0.5,,,,,,0.5,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.525,0.525,,,,,,0.525,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.55,0.55,,,,,,0.55,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.5501,0.5501,,,,,,0.5501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.575,0.575,,,,,,0.575,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.6,0.6,,,,,,0.6,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.625,0.625,,,,,,0.625,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.65,0.65,,,,,,0.65,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.6501,0.6501,,,,,,0.6501,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.675,0.675,,,,,,0.675,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.6751,0.6751,,,,,,0.6751,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.7,0.7,,,,,,0.7,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.725,0.725,,,,,,0.725,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.75,0.75,,,,,,0.75,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.775,0.775,,,,,,0.775,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.8,0.8,,,,,,0.8,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.825,0.825,,,,,,0.825,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.8251,0.8251,,,,,,0.8251,depth model from Peterson and Lisiecki 2018,
V24-109,,,,0.85,0.85,,,,,,0.85,depth model from Peterson and Lisiecki 2018,
