Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
V26-176_b,,0,,,,,,,,,,1440,2510,1360,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.1,,,,,,,,,,2050,2320,1420,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.2,,,,,,,,,,2610,2200,1490,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.3,,,,,,,,,,3100,2120,1630,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.39,,,,,,,,,,3520,2030,1680,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.435,,,,3830,140,140,355,51,51,3760,388,360,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,https://doi.org/10.1594/PANGAEA.186283
V26-176_b,,0.5,,,,,,,,,,4050,1880,1730,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.6,,,,,,,,,,4580,1770,1850,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,0.77,,,,,,,,,,5400,1610,1900,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1,,,,,,,,,,6520,1480,1890,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.1,,,,,,,,,,6940,1410,1700,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.29,,,,,,,,,,7690,1490,920,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.4,,,,,,,,,,8190,1380,490,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.45,,,,,,,,,,8450,1370,560,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.5,,,,,,,,,,8750,1370,650,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.6,,,,,,,,,,9330,1350,790,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.625,,,,8180,200,200,313,54,54,8758,543,440,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,https://doi.org/10.1594/PANGAEA.186283
V26-176_b,,1.69,,,,,,,,,,9980,1320,1010,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,1.8,,,,,,,,,,10740,1330,1130,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.01,,,,,,,,,,12260,1360,1050,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.11,,,,,,,,,,12940,1260,1140,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.2,,,,,,,,,,13450,1340,1210,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.3,,,,,,,,,,13980,1330,1250,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.39,,,,,,,,,,14420,1460,1300,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.62,,,,,,,,,,15540,1870,1650,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,2.81,,,,,,,,,,16560,2920,1980,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.01,,,,,,,,,,17900,3600,2580,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.2,,,,,,,,,,19300,4110,3080,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.47,,,,,,,,,,21070,4690,3500,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.71,,,,,,,,,,22620,5000,3740,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.81,,,,,,,,,,23310,5130,3840,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,3.92,,,,,,,,,,23970,5410,3750,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.1,,,,,,,,,,25100,5850,3580,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.28,,,,,,,,,,26180,6300,3380,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.49,,,,,,,,,,27390,6690,3020,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.69,,,,,,,,,,28460,7350,2550,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.79,,,,,,,,,,28930,7570,2490,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,4.98,,,,,,,,,,29740,8310,2160,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,5.08,,,,,,,,,,30640,8460,2280,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,5.18,,,,,,,,,,31220,8940,2070,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,5.32,,,,,,,,,,32000,8950,1950,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,5.43,,,,,,,,,,32590,9070,2080,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
V26-176_b,,5.6,,,,24750,1560,1560,778,74,74,28470,3087,2782,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,https://doi.org/10.1594/PANGAEA.186283

